复旦计算机,句子数量,464392,方法,mi,support,10,阈值,300
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
匝道,匝/道,49,76,108,2772.32066277
存盘,存/盘,23,172,148,419.587366436
微软,微/软,129,336,260,685.743681319
无线Modem,无线/Modem,19,126,42,1667.31821618
电话号码,电话/号码,16,173,35,1227.12997523
1974年生,1974年/生,23,34,859,365.713072656
小波系数,小波/系数,29,69,530,368.262729013
沙盒,沙/盒,15,15,221,2101.32126697
人群速记,人群/速记,11,13,67,5864.88174512
找不到,找/不到,16,246,26,1161.70606629
图案点阵,图案/点阵,23,180,93,638.053524492
直角坐标系,直角/坐标系,17,30,142,1853.20751174
关节加速度,关节/加速度,24,172,211,307.103714317
幺模,幺/模,58,58,843,550.880189798
悬弧,悬/弧,12,33,252,670.118326118
合作伙伴,合作/伙伴,12,214,16,1627.54205607
递推算,递/推算,19,424,37,562.432942376
1960年生,1960年/生,15,23,859,352.577820519
白板,白/板,34,148,186,573.573379831
变迁dij,变迁/dij,11,360,28,506.776984127
召回率,召回/率,21,22,599,740.038852633
气象计算器,气象/计算器,14,66,38,2592.29984051
1935年生,1935年/生,20,25,859,432.495459837
缩放,缩/放,29,79,285,598.150921608
渐近,渐/近,338,357,572,768.665138783
21世纪,21/世纪,24,311,83,431.774997094
主页副本,主页/副本,15,220,76,416.619617225
感兴趣,感/兴趣,84,128,257,1185.82587549
Iprovider接口,Iprovider/接口,11,11,1232,376.941558442
光心,光/心,10,118,89,442.193867835
数控机床,数控/机床,12,36,119,1300.81792717
挂起,挂/起,36,66,358,707.555104114
擦除,擦/除,11,15,157,2169.13460722
钻查询,钻/查询,15,15,1494,310.838018742
左上定位,左上/定位,10,23,412,490.071760236
国防科技,国防/科技,33,108,360,394.159876543
联编,联/编,12,80,110,633.261818182
密码学,密码/学,41,202,314,300.184019676
极限环,极限/环,40,107,561,309.455411731
玻壳,玻/壳,10,12,55,7036.24242424
意识态度,意识/态度,19,59,36,4154.16572505
圆形容器,圆形/容器,10,28,63,2632.60770975
纯滞后,纯/滞后,66,172,182,979.104012267
对外互联,对外/互联,15,56,126,987.227891156
拨号上网,拨号/上网,11,119,100,429.269915966
8031单片机,8031/单片机,10,22,243,868.671904227
zier曲线,zier/曲线,67,90,604,572.374245769
水汽压,水汽/压,11,11,86,5399.90697674
启发式,启/发式,59,84,59,5528.47619048
综合火力,综合/火力,13,571,26,406.647985989
局矿,局/矿,10,82,37,1530.62623599
天气预报,天气/预报,11,32,85,1878.05588235
激光雕刻,激光/雕刻,26,74,34,4798.96343402
有序类别,有序/类别,11,109,155,302.356436816
局存,局/存,25,82,172,823.156551333
获理学,获/理学,12,250,16,1393.176
不尽相同,不尽/相同,15,20,848,410.724056604
充分必要条件,充分/必要条件,75,721,137,352.606375978
阎平凡,阎/平凡,10,10,33,14072.4848485
证毕,证/毕,117,299,119,1527.0471319
固连,固/连,11,25,248,823.921290323
地理示意图,地理/示意图,19,82,169,636.704286333
请寄,请/寄,11,134,39,977.480290853
Beijing100084,Beijing/100084,24,84,175,758.191020408
Beijing100080,Beijing/100080,26,84,180,798.557671958
欧拉,欧/拉,14,57,88,1296.14992026
POS终端,POS/终端,11,31,122,1350.69063987
委托交易,委托/交易,18,63,201,660.116560057
唯一.,唯/一.,11,18,115,2467.78357488
电子商务,电子/商务,195,828,223,490.438032105
硕士研究生,硕士/研究生,49,203,220,509.521003135
下位机,下位/机,61,70,1317,307.277492136
机电一体化,机电/一体化,12,54,36,2866.61728395
外层循环,外层/循环,29,71,583,325.353755466
倒立摆,倒立/摆,60,61,78,5856.14123581
拓朴,拓/朴,16,34,23,9501.62659847
例1:,例/1:,15,1044,22,303.28631139
拓广,拓/广,13,34,126,1409.2194211
邮电学院,邮电/学院,12,40,373,373.505630027
获学士,获/学士,15,250,32,870.735
热键,热/键,24,82,206,659.803930855
仿射,仿/射,65,76,153,2595.93051256
70年代,70/年代,20,57,180,905.247563353
注册表编辑器,注册表/编辑器,12,58,119,807.404230658
互不相交,互不/相交,15,55,210,603.106493506
雅可比,雅/可比,12,14,14,28432.1632653
博士研究生,博士/研究生,94,528,220,375.799311295
死锁,死/锁,149,223,270,1149.21787079
60年代,60/年代,12,87,180,355.855938697
确信信念,确信/信念,45,90,292,795.191780822
串口,串/口,134,576,323,334.475662195
详见,详/见,35,49,492,674.204413473
抓取力,抓取/力,30,72,213,908.435054773
不再赘述,不再/赘述,27,218,29,1983.3255299
国家教委博士,国家教委/博士,16,44,528,319.829201102
倾斜角度,倾斜/角度,10,32,328,442.446646341
顺时针,顺/时针,19,29,20,15212.8413793
PchType关键字,PchType/关键字,15,31,156,1440.42183623
批化工,批/化工,19,108,137,596.340091917
国产微机,国产/微机,10,22,230,917.770750988
上位机,上位/机,77,79,1317,343.686591121
专业委员会,专业/委员会,32,200,66,1125.79878788
WBTool工具,WBTool/工具,13,19,952,333.762494471
刀具轴线,刀具/轴线,12,122,29,1575.10005653
棵子树,棵子/树,16,16,1219,380.961443806
侦听,侦/听,18,29,31,9298.17130145
ME芯片,ME/芯片,21,46,338,627.233856445
高级工程师,高级/工程师,11,146,90,388.76042618
字符发生器,字符/发生器,15,378,27,682.52792475
粗粒度,粗/粒度,17,78,210,481.96971917
化工批处理,化工/批处理,39,137,69,1915.93018089
欧氏,欧/氏,16,57,55,2370.10271132
误差平方和,误差/平方和,10,1079,13,331.070079133
慢速,慢/速,15,120,49,1184.67346939
缺省,缺/省,84,141,127,2178.41782543
CASE工具,CASE/工具,10,12,952,406.505602241
热门影片,热门/影片,10,34,57,2396.24355005
母联,母/联,11,34,80,1878.05588235
泛函,泛/函,17,123,48,1337.17208672
武汉430072,武汉/430072,13,165,21,1742.30764791
立方体cube=,立方体/cube=,10,166,13,2151.95551437
左上角,左上/角,11,23,235,945.108603145
施伯乐,施/伯乐,13,31,13,14980.3870968
电视节目,电视/节目,12,137,70,581.095307612
同期检查,同期/检查,11,35,418,349.166917293
3D重建,3D/重建,14,41,239,663.484845392
哈尔滨150001,哈尔滨/150001,55,181,70,2015.90844515
北京100871,北京/100871,22,1029,24,413.695497247
4-块,4-/块,11,13,746,526.738709012
虚时钟,虚/时钟,93,204,265,798.898557159
从事博士后,从事/博士后,13,156,95,407.361403509
1956年生,1956年/生,13,22,859,319.456873743
Microsoft公司,Microsoft/公司,40,88,624,338.280885781
鉴别诊断,鉴别/诊断,22,49,361,577.569336876
缩写词,缩写/词,16,29,372,688.753429737
缓冲池,缓冲/池,20,127,55,1329.68360773
届全国,届/全国,13,85,79,899.046314222
伴算子,伴/算子,10,15,482,642.312586445
国家863,国家/863,76,816,100,432.521960784
笛卡尔,笛/卡尔,10,13,20,17861.2307692
石纯一,石/纯一,18,45,20,9287.84
之一.,之/一.,76,757,115,405.41947045
1937年生,1937年/生,19,25,859,410.870686845
传函,传/函,13,239,48,526.246164575
巡岗,巡/岗,15,18,19,20368.0701754
绑定,绑/定,120,125,815,547.013889571
是非抢占,是非/抢占,11,108,47,1006.36564224
张钹,张/钹,12,257,12,1806.97276265
驻地通讯,驻地/通讯,11,11,336,1382.11904762
上海200433,上海/200433,38,442,42,950.597716009
有些学者,有些/学者,13,152,131,303.188830856
副研究员,副/研究员,17,89,97,914.475153481
学士学位,学士/学位,18,32,262,997.02480916
整定,整/定,174,317,815,312.76425074
竖直,竖/直,16,28,88,3015.53246753
降阶,降/阶,103,149,995,322.635836903
构图知识,构图/知识,35,44,963,383.595770792
锅炉燃烧,锅炉/燃烧,10,71,52,1257.83315276
删去,删/去,17,47,415,404.750781851
限于篇幅,限于/篇幅,70,117,122,2277.38825837
国内外学术,国内外/学术,21,114,195,438.696896086
音乐喷泉,音乐/喷泉,24,46,53,4571.53732568
趋于零.,趋于/零.,18,110,47,1616.83868472
坐标值,坐/标值,10,18,11,23454.1414141
会话公告,会话/公告,13,210,91,315.91292517
曙光1000,曙光/1000,20,33,70,4020.70995671
少拍,少/拍,15,388,44,408.029522024
寻址,寻/址,29,133,55,1841.06192755
偏导数,偏/导数,21,225,122,355.272568306
加载,加/载,84,459,173,491.253012959
辩识,辩/识,13,16,116,3252.74568966
缩减算子,缩减/算子,19,45,482,406.797971415
本原蕴含,本原/蕴含,19,27,60,5446.57283951
联想记忆,联想/记忆,73,174,194,1004.28415689
SCET工具,SCET/工具,15,17,952,430.41769649
北京100084,北京/100084,133,1029,175,342.991175899
扭矩,扭/矩,11,19,74,3633.22332859
公平排队,公平/排队,11,72,144,492.699845679
1938年生,1938年/生,20,27,859,400.458759108
道工序,道/工序,11,108,102,463.717501816
灰度直方图,灰度/直方图,14,252,65,396.916239316
PCI总线,PCI/总线,15,51,447,305.56125806
岩移,岩/移,17,32,160,1541.9265625
黑箱,黑/箱,11,74,38,1816.6116643
单纯形,单纯/形,12,39,374,382.058412176
PC机上,PC/机上,17,240,84,391.600396825
异构,异/构,153,256,269,1031.772421
物化视图,物化/视图,26,26,365,1272.30684932
1999年10月,1999年/10月,11,134,51,747.4849283
之一．,之/一．,12,757,12,613.463672391
住宅小区,住宅/小区,22,30,113,3013.75339233
5月生,5月/生,22,32,859,371.675785797
转矩,转/矩,15,267,74,352.559975706
终极符,终极/符,22,22,157,2957.91082803
零点截取,零点/截取,29,103,91,1436.82577617
发往,发/往,52,499,100,483.935551102
PWM波,PWM/波,11,24,496,429.125672043
窗体,窗/体,108,173,719,403.212039843
火焰燃烧,火焰/燃烧,18,78,52,2060.9112426
生物医学,生物/医学,17,93,130,652.991232423
交叠,交/叠,23,457,50,467.440525164
先后顺序,先后/顺序,25,87,402,331.955166695
an710049,an/710049,10,61,61,1248.03009944
尺寸TCU,尺寸/TCU,10,264,23,764.808959157
MSPCMail邮局,MSPCMail/邮局,24,44,53,4779.33447684
闭店,闭/店,11,109,18,2603.62487258
渤海造船厂,渤海/造船厂,23,23,23,20190.9565217
深度优先,深度/优先,24,108,294,351.0143613
保密会话,保密/会话,10,56,210,394.891156463
发音语境,发音/语境,18,48,56,3109.76785714
引言,引/言,88,847,97,497.407417325
干涉检验,干涉/检验,16,61,295,412.90758544
网上医院,网上/医院,11,282,50,362.291631206
多重普,多重/普,11,69,109,679.206488499
引理,引/理,608,847,888,375.397981216
1940年生,1940年/生,14,21,859,360.412883198
延期工件,延期/工件,10,13,189,1890.07733008
转动惯量,转动/惯量,10,51,16,5691.07843137
正定对称,正定/对称,46,217,265,371.481297278
长春130023,长春/130023,10,14,10,33170.8571429
PHP策略,PHP/策略,16,21,1114,317.614431051
华中师范大学,华中/师范大学,10,84,53,1043.10871518
能源测控,能源/测控,13,36,52,3224.94444444
扩缩,扩/缩,12,23,79,3066.98073748
归约,归/约,71,375,205,428.901879675
断点板,断点/板,10,56,186,445.844854071
脉动,脉/动,10,12,447,865.756897837
1963年生,1963年/生,24,36,859,360.412883198
质心,质/心,20,116,89,899.635800077
基音周期,基音/周期,28,43,786,384.726196816
职能部门,职能/部门,10,23,248,814.151472651
超长方体,超/长方体,42,652,75,398.864294479
连铸,连/铸,29,248,31,1751.73881374
存储量,存/储量,18,172,18,2699.95348837
失一般性,失/一般性,54,93,89,3029.74121058
拒识,拒/识,16,19,116,3371.26678766
递归,递/归,209,424,375,610.427220126
叉树结构,叉/树结构,13,103,43,1363.08331452
视景,视/景,20,418,21,1058.08156756
安防,安/防,18,35,45,5307.33714286
感受野,感受/野,12,27,18,11466.4691358
方形RB,方形/RB,12,73,25,3053.53643836
托肯,托/肯,26,31,26,14980.3870968
Laplace变换,Laplace/变换,11,14,962,379.292545293
明细帐,明细/帐,12,14,192,2073.17857143
Harbin150001,Harbin/150001,11,15,70,4865.05904762
突发业务,突发/业务,14,41,436,363.69926158
1964年生,1964年/生,27,45,859,324.371594878
上升沿,上升/沿,13,60,180,558.99037037
PID调节器,PID/调节器,22,295,99,349.824482109
多项式簇,多项式/簇,18,356,65,361.238375108
逐渐减小,逐渐/减小,10,126,94,392.090509963
假想世界,假想/世界,14,21,405,764.43127572
秒钟,秒/钟,11,124,41,1004.78206137
ELS辨识,ELS/辨识,10,19,540,452.623781676
卸载,卸/载,25,31,173,2164.79582323
油气勘探,油气/勘探,13,16,17,22195.2058824
微型电脑,微型/电脑,30,52,297,902.082362082
来稿请,来稿/请,14,65,134,746.439494834
铲斗,铲/斗,13,13,20,23219.6
滑窗,滑/窗,16,46,173,933.685850716
数组私有化,数组/私有化,11,374,24,569.107843137
偏斜,偏/斜,26,225,61,879.722550091
黑盒,黑/盒,12,74,221,340.754800049
Jacobi不等式,Jacobi/不等式,10,20,341,680.926686217
偏序,偏/序,58,225,363,329.779442914
避碰,避/碰,12,49,21,5415.65014577
陡度,陡/度,14,16,1101,369.067211626
漏桶,漏/桶,13,52,40,2902.45
年代末,年代/末,16,180,44,938.165656566
博士生导师,博士生/导师,329,456,347,965.575661055
订阅者,订阅/者,14,21,736,420.644927536
遍历,遍/历,127,164,130,2766.31257036
马氏,马/氏,19,35,55,4583.60935065
值得注意,值得/注意,37,114,390,386.471075124
趋向动词,趋向/动词,16,112,153,433.605975724
MDL原则,MDL/原则,14,31,282,743.707160833
过早收敛,过早/收敛,14,16,781,520.28553137
1968年生,1968年/生,28,47,859,322.071087113
插补,插/补,90,302,151,916.522959519
瓶颈机床,瓶颈/机床,20,132,119,591.280875987
图案创作,图案/创作,16,180,38,1086.29707602
1942年生,1942年/生,13,16,859,439.253201397
盖住,盖/住,10,30,34,4552.8627451
风温,风/温,12,70,67,1188.2098081
残差,残/差,33,36,653,651.903011741
IO稳定性,IO/稳定性,12,30,603,308.054394693
毛绒,毛/绒,11,19,11,24441.6842105
仪器仪表,仪器/仪表,11,92,53,1047.64397047
1999年6月,1999年/6月,14,134,51,951.3444542
1945年生,1945年/生,12,16,859,405.464493597
非空子,非/空子,14,1202,15,360.592789795
增广,增/广,17,122,126,513.574290919
识认,识/认,16,116,20,3202.70344828
ISA总线,ISA/总线,15,30,447,519.454138702
飞速发展,飞速/发展,46,47,1208,376.251092011
先后次序,先后/次序,20,87,152,702.347247429
堡垒主机,堡垒/主机,13,14,390,1105.6952381
1973年生,1973年/生,36,49,859,397.189708014
驻留,驻/留,12,22,42,6031.06493506
科技进步,科技/进步,13,360,33,508.173063973
弹箭,弹/箭,12,55,14,7237.27792208
北京中关村,北京/中关村,10,1029,13,347.157060626
供风,供/风,11,179,70,407.68651237
学术年会,学术/年会,25,195,36,1653.81766382
1966年生,1966年/生,28,36,859,420.481697064
1969年生,1969年/生,30,48,859,337.887077998
LQ逆,LQ/逆,12,34,260,630.39638009
视频点播,视频/点播,24,604,36,512.573951435
阶跃响应,阶跃/响应,25,26,716,623.646325741
扰动力矩,扰动/力矩,41,398,154,310.645304444
散列,散/列,14,45,382,378.213379872
句柄,句/柄,92,143,97,3080.09977651
工况,工/况,13,347,14,1242.71222725
速记符,速记/符,56,67,157,2472.28367716
跳转,跳/转,19,99,267,333.804259827
传感,传/感,22,239,128,333.963912134
填入,填/入,22,38,661,406.745123019
稍加,稍/加,18,57,459,319.499140007
2分别,2分/别,12,20,43,6479.88837209
倾斜校正,倾斜/校正,11,32,212,752.994103774
找到CARoot,找到/CARoot,20,326,89,320.115806163
满秩,满/秩,45,105,84,2369.34693878
南京210094,南京/210094,16,337,21,1049.91832697
南京210096,南京/210096,15,337,24,861.261127596
导龟,导/龟,15,97,16,4488.32474227
避障,避/障,35,49,36,9214.12698413
端口号,端/口号,32,1341,35,316.619665495
征文通知,征文/通知,12,40,208,669.796153846
AbstractInthispaper,Abstract/Inthispaper,75,537,87,745.508251461
趋向词,趋向/词,54,112,372,601.890552995
公告板,公告/板,35,91,186,960.281224152
倒谱系,倒/谱系,12,53,16,6571.58490566
摩擦力矩,摩擦/力矩,16,24,154,2010.35497835
几何要素,几何/要素,12,333,42,398.448734449
Smith预估,Smith/预估,68,79,117,3416.49421184
矢量斜率,矢量/斜率,40,446,88,473.289849164
1999年7月,1999年/7月,21,134,50,1455.55701493
耗散,耗/散,22,89,45,2550.96729089
1962年生,1962年/生,21,36,859,315.361272798
副主任,副/主任,11,89,33,1739.29588015
发送给,发/送给,45,499,80,523.487975952
1957年生,1957年/生,11,18,859,330.378476264
1971年生,1971年/生,29,50,859,313.559208382
上海200030,上海/200030,83,442,106,822.687099804
武汉华中,武汉/华中,16,165,84,536.094660895
边折叠,边/折叠,12,510,19,575.098452012
建模,建/模,463,538,843,474.084624306
巡逻员工,巡逻/员工,22,84,97,1253.88119784
超方形,超/方形,56,652,73,546.389444491
累进网格,累进/网格,10,21,539,410.276526195
双击,双/击,25,310,102,367.166350411
Agenti知道,Agenti/知道,12,40,339,410.966371681
迭代,迭/代,522,545,854,520.835837827
至今,至/今,14,352,19,972.112440191
彩色显示器,彩色/显示器,10,60,138,560.859903382
包装部,包装/部,16,86,197,438.571125015
SQL语句,SQL/语句,111,226,517,441.172797453
弹性变形,弹性/变形,27,115,205,531.859342524
信息港建设,信息港/建设,19,90,185,529.936816817
有色噪声,有色/噪声,27,30,419,997.50071599
第三届,第三/届,11,164,85,366.449928264
中国科学院院士,中国科学院/院士,17,244,58,557.847936687
杨成梧,杨成/梧,15,15,16,29024.5
1972年生,1972年/生,32,46,859,376.083008554
1947年生,1947年/生,10,12,859,450.516103997
虚拟实景,虚拟/实景,38,961,47,390.703301083
偶校验,偶/校验,10,81,166,345.37557638
跳白,跳/白,13,99,148,412.032214032
哈希,哈/希,34,35,36,12531.2126984
ASCII码,ASCII/码,21,31,513,613.232220336
长沙工学院,长沙/工学院,12,98,44,1292.37105751
成都信息港,成都/信息港,16,83,90,994.681659973
offset环,offset/环,14,35,561,331.117290553
音节切分,音节/切分,13,92,81,810.130971551
QM编码器,QM/编码器,41,51,86,4341.10168719
协定延迟,协定/延迟,16,21,369,958.868499161
摄动,摄/动,225,275,447,850.015863331
西安交通,西安/交通,93,257,527,318.877546349
突现,突/现,13,30,254,792.269816273
Huffman编码,Huffman/编码,12,15,818,454.173105134
预备知识,预备/知识,13,19,963,329.950046456
激波,激/波,10,18,496,520.152329749
西北工业,西北/工业,53,56,786,559.177935296
势态评估,势态/评估,10,29,158,1013.51374945
潘德惠,潘/德惠,11,16,11,29024.5
北方交通,北方/交通,11,14,527,692.370832204
突触,突/触,10,30,19,8147.22807018
拖期,拖/期,10,16,848,342.27004717
命名约定,命名/约定,10,98,112,423.097667638
中国科学技术,中国/科学技术,47,464,146,322.189773264
油藏模拟,油藏/模拟,16,30,816,303.524183007
负载均衡,负载/均衡,27,340,87,423.887221095
张支票,张/支票,10,257,45,401.54950281
1946年生,1946年/生,20,29,859,372.840913653
一切t≥0,一切/t≥0,12,65,26,3297.45798817
Fourier变换,Fourier/变换,10,16,962,301.70997921
轮询,轮/询,15,70,16,6219.53571429
均值检验,均值/检验,31,144,295,338.892467043
注视停顿,注视/停顿,22,79,24,5388.51476793
圆心坐标,圆心/坐标,17,40,452,436.651769912
抓取姿态,抓取/姿态,10,72,65,992.290598291
壁画色彩,壁画/色彩,10,54,113,761.048836447
分块尺寸,分块/尺寸,24,85,264,496.675935829
份寄,份/寄,13,75,39,2063.96444444
Horn子句,Horn/子句,14,14,265,1752.42264151
信息化建设,信息化/建设,10,38,185,660.586059744
缓冲区Bi,缓冲区/Bi,16,327,57,398.641128816
遗忘因子,遗忘/因子,23,33,263,1230.67357991
排样,排/样,34,173,94,970.933956463
排料,排/料,14,173,53,709.072745119
预送,预/送,167,325,415,575.002513438
预览,预/览,23,325,26,1264.02556213
立体视觉,立体/视觉,11,37,403,342.586815103
预研,预/研,15,325,39,549.576331361
包围盒,包围/盒,30,57,221,1105.95856156
苹果电脑,苹果/电脑,11,33,297,521.203142536
通讯联系人,通讯/联系人,114,336,121,1302.16174734
似然,似/然,30,49,37,7684.36845008
安放距离,安放/距离,17,28,643,438.495001111
第四届,第四/届,11,61,85,985.209643202
明焰窑,明焰/窑,10,12,19,20368.0701754
证据论,证据/论,18,95,236,372.839250669
维护型意愿,维护型/意愿,28,36,152,2376.2748538
缺损频谱,缺损/频谱,21,27,79,4572.07313643
吞吐率,吞吐/率,28,29,599,748.545046342
漫反射,漫/反射,11,12,52,8186.3974359
CCD摄像机,CCD/摄像机,10,25,254,731.325984252
蚁群,蚁/群,61,62,201,2273.14331568
警戒测试,警戒/测试,14,16,1185,342.905485232
通孔,通/孔,17,217,48,757.93625192
反向传播,反向/传播,34,86,181,1014.3471669
角度来看,角度/来看,25,328,70,505.653310105
Cisco公司,Cisco/公司,10,21,624,354.389499389
运土,运/土,13,39,15,10319.8222222
SPI调节器,SPI/调节器,23,59,99,1828.62797466
检诊,检/诊,10,43,14,7714.15282392
驾驶仪,驾驶/仪,10,25,28,6634.17142857
广州510641,广州/510641,12,44,13,9742.48951049
指纹图象,指纹图/象,19,20,1254,351.812121212
Hangzhou310027,Hangzhou/310027,21,24,123,3303.60162602
孤立子系统,孤立/子系统,15,51,424,322.136514983
全文检索,全文/检索,44,90,570,398.308927875
析构,析/构,13,17,269,1320.16094468
心理意象,心理/意象,13,34,45,3945.81437908
串行生产线,串行/生产线,45,448,136,342.989101891
工程师站,工程师/站,18,90,202,459.794059406
本征,本/征,46,1204,55,322.591845364
业界,业/界,17,30,716,367.53556797
csg_node结,csg_node/结,21,21,1492,311.254691689
学术期刊,学术/期刊,18,195,53,808.810449927
反射光,反射/光,13,52,118,983.881355932
暂时事务,暂时/事务,52,81,652,457.251836704
互操作性,互/操作性,75,317,88,1248.54459421
从属显示器,从属/显示器,22,36,138,2056.4863124
简要介绍,简要/介绍,33,62,804,307.433317285
无线寻呼,无线/寻呼,16,126,71,830.569192935
枚举,枚/举,27,32,58,6755.70258621
菜单项,菜/单项,11,11,18,25799.5555556
长期从事,长期/从事,14,66,156,631.457653458
MSMail连接器,MSMail/连接器,11,12,74,5752.6036036
经验风险,经验/风险,22,250,95,430.173642105
宿主操作系统,宿主/操作系统,11,30,462,368.565079365
金融机构,金融/机构,15,64,249,437.115963855
镜头频度,镜头/频度,22,166,42,1465.37923121
镜头切变,镜头/切变,12,166,20,1678.5253012
国家教育部,国家/教育部,11,816,19,329.483488132
三角网格,三角/网格,59,150,539,338.888410637
磁浮列车,磁浮/列车,14,14,19,24441.6842105
掩码,掩/码,17,19,513,809.958346158
优先次序,优先/次序,40,294,152,415.67490154
图文电视,图文/电视,24,33,137,2465.25282017
文法推断,文法/推断,79,299,179,685.468657163
词性标注,词性/标注,19,85,131,792.406645712
楼栋,楼/栋,10,21,14,15795.6462585
细粒度,细/粒度,15,51,210,650.408963585
国防科学技术,国防/科学技术,28,108,146,824.64332826
Shenyang110006,Shenyang/110006,13,17,67,5300.3476734
磁盘cache,磁盘/cache,11,254,54,372.434529017
流动站,流动/站,11,53,202,477.144778629
急剧增长,急剧/增长,10,31,127,1179.55803912
注意事项,注意/事项,10,390,12,992.290598291
低电平,低/电平,31,668,63,342.081361087
1999年9月,1999年/9月,18,134,51,1223.1571554
不可缺少,不可/缺少,11,160,62,514.950806452
谱密度,谱/密度,17,91,204,425.267399267
时代转移,时代/转移,19,81,221,492.902519412
上海200092,上海/200092,10,442,17,618.035666755
平滑过渡,平滑/过渡,14,97,121,553.930987476
人工干预,人工/干预,25,187,40,1552.11229947
西南交通,西南/交通,10,30,423,365.951142632
学院沈阳110006,学院/沈阳110006,19,339,46,565.823265358
10月生,10月/生,17,40,345,572.077101449
20世纪,20/世纪,17,409,59,327.158592682
继承异常现象,继承/异常现象,26,450,28,958.269206349
固态浸没物镜,固态浸没/物镜,20,20,29,16013.5172414
学术交流,学术/交流,15,109,166,384.982867249
上下文无关文法,上下文无关/文法,25,30,220,1759.06060606
APPLICATIONRESEARCHOFCOMPUTERS2000Vol.17No.2,APPLICATIONRESEARCHOFCOMPUTERS2000/Vol.17No.2,20,40,20,11609.8
APPLICATIONRESEARCHOFCOMPUTERS2000Vol.17No.5,APPLICATIONRESEARCHOFCOMPUTERS2000/Vol.17No.5,20,40,20,11609.8
森林剖分,森林/剖分,15,32,36,6046.77083333
联机手写体汉字,联机/手写体汉字,19,120,32,2297.77291667
区域巡逻监察,区域/巡逻监察,10,1462,10,317.641586867
稳态生产率,稳态/生产率,14,355,43,425.908155912
基金会现场总线,基金会现场/总线,22,22,417,1113.6498801
黑色像素,黑色像/素,16,17,144,3035.24183007
敏捷供需链,敏捷/供需链,56,146,84,2120.51141553
8月生,8月/生,10,33,345,407.89811155
长名词短语,长/名词短语,11,571,26,344.086757376
中国工程院院士,中国/工程院院士,12,417,13,1027.9845047
免疫进化规划,免疫进化/规划,10,11,679,621.759271656
截止期,截止/期,19,44,320,626.665340909
网上证券,网上/证券,17,255,57,543.148538012
华南理工,华南理/工,24,26,334,1283.44173192
并发差错检测,并发/差错检测,37,304,49,1153.49785177
MUDAS播音监控,MUDAS/播音监控,29,31,36,12067.5340502
步进电动机,步/进电动机,11,919,11,505.323177367
