复旦经济,句子数量,815851,方法,mi,support,10,阈值,100
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
产地批发,产地/批发,15,64,169,1131.45016642
农民增收,农民/增收,45,2550,101,142.548223646
直线上升,直线/上升,13,44,2265,106.422466386
第3卷,第3/卷,183,384,1081,359.670668074
平抑物价,平抑/物价,10,20,930,438.629569892
信贷配给,信贷/配给,11,945,38,249.912587023
基尼系数,基尼/系数,126,128,550,1460.18786932
竞争对手,竞争/对手,79,5130,116,108.308511461
建筑材料,建筑/材料,25,217,326,288.3191739
信用评级,信用/评级,11,591,28,542.322999758
拗疲,拗/疲,14,36,191,1661.12769052
如实反映,如实/反映,10,26,1608,195.14231726
重新审视,重新/审视,45,768,90,531.152994792
初创阶段,初创/阶段,15,29,4042,104.401755703
伴随着,伴随/着,187,326,4404,106.264339307
国防开支,国防/开支,12,98,309,323.301367149
值得商榷,值得/商榷,11,483,26,714.632982959
铸币税,铸币/税,18,32,851,539.266965335
三分天下,三分/天下,16,26,94,5341.08674304
耕犁,耕/犁,13,163,41,1587.02124794
鹄吹,鹄/吹,13,59,154,1167.29727053
集体农庄,集体/农庄,14,1055,19,569.813619356
跃升,跃/升,23,134,206,679.777314882
边际产出率,边际/产出率,11,768,50,233.707317708
相吻合,相/吻合,44,2339,77,199.316191291
尽人意,尽/人意,10,144,16,3541.01996528
非均衡性,非/均衡性,21,2001,28,305.791229385
哪谠,哪/谠,12,302,70,463.113150426
哪谌,哪/谌,12,302,164,197.670247133
公用设施,公用/设施,16,37,1436,245.68275239
维度,维/度,12,97,650,155.276954798
过热,过/热,225,2479,418,177.149756519
跃迁,跃/迁,12,134,105,695.821748401
无法回避,无法/回避,21,1196,106,135.14285827
工场手工业,工场/手工业,21,36,137,3473.81812652
遭到破坏,遭到/破坏,21,123,469,296.997087732
⑹谐,⑹/谐,23,89,832,253.41093615
过冷,过/冷,23,2479,70,108.1344609
普尔500,普尔/500,10,32,145,1758.29956897
旅游景点,旅游/景点,19,1210,31,413.254305519
两点：第一,两点：/第一,10,16,2730,186.779075092
烟草加工业,烟草/加工业,13,51,428,485.892569177
哪勘,哪/勘,17,302,111,413.742228984
税务司,税务/司,16,189,192,359.722663139
个体工商户,个体/工商户,47,817,48,977.789601183
工农业总产值,工农业/总产值,45,154,593,402.020268938
污染排放,污染/排放,10,450,58,312.586590038
售假,售/假,10,72,169,670.488987508
畲蠡,畲/蠡,25,62,53,6207.02221546
三峡工程,三峡/工程,13,20,744,712.773051075
易货,易/货,25,289,238,296.535067314
粮食总产量,粮食/总产量,19,866,93,192.470250068
全球排行,全球/排行,17,2351,41,143.887572491
离退休职工,离退休/职工,10,42,1468,132.323050474
无效供给,无效/供给,94,188,2777,146.894310407
乱集资,乱/集资,10,253,73,441.740754778
锰跫,锰/跫,11,113,174,456.431746516
解放出来,解放/出来,28,233,889,110.283667331
高素质人才,高素质/人才,13,30,1638,215.833597884
机构臃肿,机构/臃肿,11,3108,21,137.500168536
传播媒体,传播/媒体,11,355,163,155.091350557
大幅贬值,大幅/贬值,26,311,479,142.392887111
巳衔,巳/衔,10,36,138,1642.21215781
紧紧抓住,紧紧/抓住,16,76,346,496.410708853
偷税漏税,偷税/漏税,19,32,27,17941.1678241
远洋运输,远洋/运输,12,34,721,399.372277066
共产党宣言,共产党/宣言,38,84,62,5952.82987711
平稳过渡,平稳/过渡,33,270,733,136.037001667
合乎逻辑,合乎/逻辑,23,81,461,502.519295145
侧面反映,侧面/反映,19,70,1608,137.714721038
无产阶级专政,无产阶级/专政,16,156,32,2614.90705128
6月9日,6月/9日,11,308,35,832.501020408
千年回合,千年/回合,10,40,77,2648.86688312
重新回到,重新/回到,14,768,110,135.202580492
袷杖,袷/杖,14,55,182,1141.05034965
CPA意见,CPA/意见,15,15,347,2351.1556196
周期长度,周期/长度,16,1200,50,217.560266667
艰巨任务,艰巨/任务,12,81,1003,120.505298918
无产阶级革命,无产阶级/革命,25,156,1068,122.420742101
肪常,肪/常,17,161,215,400.677943088
六七十年代,六七十/年代,11,14,4656,137.677359475
肪巢,肪/巢,29,161,49,2999.07199899
超额准备金,超额/准备金,11,54,143,1162.18091168
1997—1998年度,1997—1998/年度,20,34,476,1008.21922887
肪场,肪/场,17,161,490,175.807668906
相互渗透,相互/渗透,60,1562,235,133.35619909
某潭,某/潭,16,805,103,157.43370922
某杀,某/杀,13,805,121,108.886227606
某晒,某/晒,11,805,91,122.508511364
战争赔偿,战争/赔偿,11,271,103,321.511876187
拖垮,拖/垮,12,137,30,2382.04671533
破产清算,破产/清算,15,457,75,357.046389497
肪车,肪/车,16,161,174,465.967587635
统一大业,统一/大业,11,1505,15,397.535370986
6万亿元,6万亿/元,15,27,4373,103.647508702
趋于饱和,趋于/饱和,18,453,135,240.132744665
税务机关,税务/机关,14,189,385,156.96988937
双边贸易额,双边/贸易额,15,169,187,387.234281556
基本国策,基本/国策,43,4604,61,124.91487445
废除私有制,废除/私有制,11,114,518,151.973870487
再生产图式,再生产/图式,10,221,20,1845.81674208
研究所研究员,研究所/研究员,24,502,163,239.293427517
相干性,相干/性,10,17,4486,106.98001626
Ｏ衷,Ｏ/衷,17,82,71,2382.25128822
革命胜利,革命/胜利,29,1068,130,170.409673005
放松管制,放松/管制,24,269,511,142.445558312
有所减缓,有所/减缓,22,856,151,138.861809123
中共中央关于,中共中央/关于,53,155,1900,146.82547708
基塘,基/塘,16,127,47,2186.90165857
盐铁,盐/铁,47,227,134,1260.60217634
效用函数,效用/函数,60,464,597,176.713524519
有偿使用,有偿/使用,15,63,1886,102.995884462
芝加哥大学,芝加哥/大学,14,26,1403,313.11787927
陷入困境,陷入/困境,57,386,343,351.240252874
本刊记者,本刊/记者,10,28,228,1277.96209273
⒉煌,⒉/煌,10,121,140,481.612160567
奥地利学派,奥地利/学派,42,69,413,1202.43330877
⒉皇,⒉/皇,13,121,214,409.595388893
会计师事务所,会计师/事务所,10,87,51,1838.74464728
底子薄,底子/薄,12,18,153,3554.90631808
连续多年,连续/多年,12,540,134,135.2986733
石油化工,石油/化工,42,501,217,315.182924474
历史使命,历史/使命,31,2972,74,114.998458586
试析,试/析,14,339,95,354.662754231
本文拟就,本文/拟就,16,982,16,830.805498982
出口交货值,出口/交货值,11,4886,18,102.041672352
木咛,木/咛,11,356,66,381.952715356
允谐,允/谐,17,100,832,166.700324519
鞣矫,鞣/矫,11,85,295,357.900737787
沉重打击,沉重/打击,16,170,202,380.128596389
对外输出,对外/输出,41,964,286,121.325374314
褪撬,褪/撬,10,190,63,681.57978279
北方省份,北方/省份,20,192,179,474.773626629
奶厥,奶/厥,11,146,103,596.77889347
闷笠,闷/笠,14,35,945,345.333756614
登记备案,登记/备案,16,209,24,2602.39553429
砺郏,砺/郏,12,125,46,1702.64556522
己玫,己/玫,18,88,355,470.080601793
储运,储/运,11,30,190,1574.44929825
逾放,逾/放,10,34,516,465.031349749
问剑,问/剑,15,202,147,412.129218024
相抗衡,相/抗衡,16,2339,45,124.01896347
鞣⒄,鞣/⒄,10,85,852,112.655481911
问健,问/健,11,202,140,317.339497878
充满活力,充满/活力,24,189,561,184.670458082
钢产量,钢/产量,20,97,729,230.749932827
∩希,∩/希,20,91,136,1318.44053006
珠三角,珠/三角,55,125,81,4431.78320988
特别行政区,特别/行政区,11,2857,27,116.340126266
扶贫攻坚,扶贫/攻坚,11,122,53,1387.93086916
回购,回/购,21,283,196,308.878470469
各省区,各省/区,14,51,1103,203.0454198
远远高于,远远/高于,45,376,756,129.155743414
治理整顿,治理/整顿,54,660,186,358.878739003
通货收缩,通货/收缩,39,1012,287,109.550168019
非营利,非/营利,16,2001,22,296.524828495
奶跫,奶/跫,19,146,174,610.186151787
各省市,各省/市,14,51,788,284.212053349
脑黾,脑/黾,10,207,112,351.902605245
脑鹑,脑/鹑,13,207,367,139.610406876
砺匏,砺/匏,24,125,30,5221.4464
∩系,∩/系,17,91,560,272.163795133
嗍视,嗍/视,10,52,224,700.421531593
温和通货膨胀,温和/通货膨胀,12,61,1167,137.528087994
兼顾公平,兼顾/公平,38,154,980,205.422329711
矫嬉,矫/嬉,14,295,25,1548.73410169
优良品种,优良/品种,16,88,379,391.389301991
双赢,双/赢,21,233,71,1035.65683371
东亚奇迹,东亚/奇迹,25,945,201,107.379899445
欧美,欧/美,223,466,1091,357.853316051
生命周期,生命/周期,87,182,1200,324.995590659
对外经贸,对外/经贸,74,964,538,116.408115967
Ｖ泄,Ｖ/泄,16,151,401,215.580518901
副局长,副/局长,10,324,22,1144.57210999
木赫,木/赫,34,356,226,344.771477578
走出去,走/出去,29,1410,133,126.164768304
债权债务,债权/债务,30,279,756,116.039568755
畔⒒,畔/⒒,27,182,123,984.006834629
畔⒓,畔/⒓,13,182,96,607.031994048
畔⒌,畔/⒌,20,182,103,870.426757708
褪谐,褪/谐,23,190,832,118.70301746
手工作坊,手工/作坊,11,77,19,6134.21804511
卢布贬值,卢布/贬值,15,108,479,236.560832753
正斜率,正/斜率,11,1729,38,136.59189979
港珠,港/珠,24,494,125,317.09188664
跨州,跨/州,11,558,158,101.791672338
江泽民同志,江泽民/同志,115,269,561,621.718154649
逃债,逃/债,13,103,264,390.043505443
桑园面积,桑园/面积,21,55,480,648.972386364
变价计算,变价/计算,10,34,1251,191.811491983
梯度推移,梯度/推移,14,64,62,2878.50655242
港府,港/府,10,494,69,239.350759843
民乐镇,民乐/镇,10,13,184,3410.74832776
未能及时,未能/及时,23,220,541,157.658990086
不可分割,不可/分割,27,690,252,126.684937888
半殖民地半封建,半殖民地/半封建,28,57,47,8526.99813363
第25卷,第25/卷,18,37,1081,367.160487037
⑽幕,⑽/幕,14,56,293,696.118600683
北京邮编,北京/邮编,11,898,65,153.749546
相当可观,相当/可观,25,1721,80,148.142613306
索洛,索/洛,25,42,39,12451.9383394
试错,试/错,13,339,83,376.943632939
沉船考古,沉船/考古,10,66,99,1248.62411999
渲玫,渲/玫,13,98,355,304.8595286
海外华人,海外/华人,12,439,85,262.3666622
推笠,推/笠,45,226,945,171.902865571
新华文摘,新华/文摘,13,28,40,9469.69910714
繁体字＠,繁体字/＠,16,20,335,1948.30089552
正常运转,正常/运转,28,663,186,185.24325727
截然相反,截然/相反,13,35,563,538.242222786
光明日报,光明/日报,28,61,166,2255.95773257
股票交易所,股票/交易所,10,960,82,103.63960874
参考文献,参考/文献,355,574,2166,232.953295466
阂皇,阂/皇,14,33,214,1617.37666383
股票市值,股票/市值,13,960,83,133.108220382
视察深圳,视察/深圳,14,43,1371,193.746102828
救贫,救/贫,13,46,464,496.910747751
福山,福/山,11,57,138,1140.90528858
那个时候,那个/时候,11,78,530,217.086623125
机器设备,机器/设备,60,277,1181,149.634740185
电脑软件,电脑/软件,11,237,267,141.82210528
东南沿海,东南/沿海,63,116,731,606.144311052
劳资双方,劳资/双方,10,93,493,177.943030382
张军,张/军,18,323,77,590.459490973
胧谐,胧/谐,37,144,832,251.957189837
长江中下游,长江/中下游,12,272,24,1499.72610294
黄金储备,黄金/储备,10,123,400,165.823373984
哥伦比亚大学,哥伦比亚/大学,11,31,1403,206.34035362
骋坏,骋/坏,11,157,398,143.621947316
行政长官,行政/长官,12,1675,30,194.830089552
国土面积,国土/面积,20,104,480,326.86338141
下岗分流,下岗/分流,29,561,147,286.898747378
电子联行,电子/联行,10,1721,11,430.960329618
领导小组,领导/小组,19,857,116,155.928549873
赡苄,赡/苄,19,188,42,1963.1672999
赡苁,赡/苁,16,188,67,1036.33026358
田租,田/租,11,212,350,120.948261456
堤寰,堤/寰,15,44,124,2242.99211877
互惠互利,互惠/互利,19,53,84,3481.84389039
经济法立法权,经济法/立法权,70,341,139,1204.86866812
珠澳,珠/澳,12,125,615,127.35235122
创造性思维,创造性/思维,11,219,333,123.059511566
王洛林,王/洛林,15,194,16,3942.57893041
试吹,试/吹,24,339,154,375.060797609
伪劣商品,伪劣/商品,11,16,4057,138.254267316
预计全年,预计/全年,11,354,237,106.967520084
30%左右,30%/左右,12,72,1159,117.321110152
非农业人口,非农业/人口,43,88,2727,146.187922959
开埠,开/埠,25,503,49,827.535805575
下岗职工,下岗/职工,221,561,1468,218.934501693
篇文章,篇/文章,52,312,547,248.583485679
试础,试/础,10,339,64,376.037518437
片面强调,片面/强调,38,187,1370,121.013068426
幸恍,幸/恍,10,160,141,361.63608156
不大可能,不大/可能,15,17,4607,156.255378644
广播电视,广播/电视,13,58,104,1758.29956897
存续,存/续,10,292,46,607.39353782
淘汰出局,淘汰/出局,15,199,23,2673.75245794
贸工农一体化,贸工农/一体化,10,18,1546,293.176297255
挥惺,挥/惺,13,203,123,424.76923385
波浪式,波浪/式,14,16,985,724.740736041
试春,试/春,13,339,72,434.532243527
消化吸收,消化/吸收,18,132,605,183.888279489
财会月刊,财会/月刊,12,53,48,3848.35377358
会计准则,会计/准则,394,3211,639,156.662808645
嵌瓤,嵌/瓤,10,132,26,2377.18822844
种植面积,种植/面积,28,96,480,495.742795139
第t,第/t,13,113,558,168.206029752
棵诺,棵/诺,26,137,234,661.679643147
甲什,甲/什,10,100,175,466.200571429
副会长,副/会长,11,324,35,791.389858907
吉林大学,吉林/大学,32,108,1403,172.297669016
寻租,寻/租,170,182,350,2177.31036107
密切相关,密切/相关,144,612,1369,140.22274739
体力劳动,体力/劳动,34,78,3079,115.50092854
东移,东/移,11,441,151,134.768377108
衍生工具,衍生/工具,48,235,747,223.081534649
前景看好,前景/看好,12,526,62,300.202747455
不良债权,不良/债权,142,554,279,749.523452765
互联网用户,互联网/用户,10,255,158,202.494663688
东扩,东/扩,29,441,105,510.953007235
锥蔚,锥/蔚,16,94,55,2524.87736944
著名经济学家,著名/经济学家,88,430,1245,134.108317923
中间环节,中间/环节,35,342,612,136.427325804
苍白无力,苍白/无力,11,13,127,5435.71229558
飞机制造,飞机/制造,12,50,493,397.168843813
区分开,区分/开,21,197,503,172.900374403
买断,买/断,11,339,151,175.318154291
2000年2月,2000年/2月,16,612,154,138.502843562
粗放度,粗放/度,32,145,650,276.999809019
粗放式,粗放/式,21,145,985,119.957087345
纬闪,纬/闪,15,115,68,1564.93158568
兆韩元,兆/韩元,15,46,35,7601.09627329
头⒄,头/⒄,42,377,852,106.679063773
奠定坚实,奠定/坚实,13,277,121,316.438314885
连理工大,连理/工大,11,12,19,39361.2324561
挥姓,挥/姓,10,203,247,162.711353982
医疗卫生,医疗/卫生,16,374,145,240.70839019
轨道上来,轨道/上来,24,255,69,1112.8402387
东西方文化,东西方/文化,13,44,2025,119.035499439
姓资,姓/资,11,247,297,122.334832809
研究所课题组,研究所/课题组,10,502,150,108.346746348
农副产品收购,农副产品/收购,13,135,347,226.407578183
姓社,姓/社,12,247,254,156.049156811
邓小平文选,邓小平/文选,256,1111,351,535.586522755
恶性膨胀,恶性/膨胀,11,143,287,218.668185473
放权让利,放权/让利,52,97,74,5910.31652271
哂兄,哂/兄,14,156,279,262.427947799
异动,异/动,12,96,167,610.666916168
中立型,中立/型,15,26,1712,274.931816139
人均占有量,人均/占有量,40,1299,58,433.145390353
春秋战国,春秋/战国,11,25,32,11217.95125
纬傻,纬/傻,26,115,113,1632.32981916
成反比,成/反比,16,1351,18,536.788222716
唐肥,唐/肥,10,147,68,816.177470988
新华社记者,新华社/记者,13,145,228,320.812552934
信贷偏向,信贷/偏向,12,945,63,164.444646007
澳台,澳/台,47,615,540,115.462201144
委托代理,委托/代理,54,228,215,898.734271726
屠投,屠/投,14,44,415,625.515553122
高级经理,高级/经理,16,280,345,135.130600414
消灭私有制,消灭/私有制,48,230,518,328.696055061
适度区间,适度/区间,11,458,169,115.944820547
拟合,拟/合,30,135,228,795.176413255
共同富裕,共同/富裕,239,1738,411,272.971406292
非生产领域,非生产/领域,13,32,3018,109.820897531
句空话,句/空话,20,163,23,4352.36596426
合伙制,合伙/制,16,54,1241,194.789387292
贫刃,贫/刃,10,464,63,279.095169677
发债,发/债,21,346,264,187.564273516
极度短缺,极度/短缺,10,63,817,158.50692623
意味着,意味/着,55,84,4404,121.296129601
从中受益,从中/受益,10,88,160,579.439630682
渠道狭窄,渠道/狭窄,11,707,63,201.485395478
自然经济观,自然经济/观,16,159,420,195.471937706
薄ⅰ,薄/ⅰ,15,153,62,1290.08697027
求生存,求/生存,32,369,620,114.115010053
钱纳里,钱/纳里,14,657,14,1241.78234399
扩需,扩/需,17,105,816,161.875198413
综合商社,综合/商社,15,1400,23,380.054813665
社会科学季刊,社会科学/季刊,13,435,32,761.929813218
幅员辽阔,幅员/辽阔,13,29,47,7781.4108584
连年丰收,连年/丰收,13,78,54,2518.05864198
特许连锁,特许/连锁,15,74,192,861.329180743
这次会议,这次/会议,17,177,670,116.95309048
博士研究生,博士/研究生,22,199,115,784.300720996
加乃,加/乃,10,494,140,117.965731637
殉晌,殉/晌,14,22,137,3789.61977439
第4卷,第4/卷,37,247,1081,113.055039756
我以为,我/以为,28,1227,120,155.146889432
争辩说,争辩/说,12,21,4161,112.04051224
祖国大陆,祖国/大陆,137,276,567,714.231954349
成份并存,成份/并存,14,248,444,103.729965853
工会联盟,工会/联盟,10,274,249,119.5806584
厦门大学,厦门/大学,45,160,1403,163.548178011
实施细则,实施/细则,11,2264,15,264.262691402
薄赋,薄/赋,19,153,102,993.2826477
胁涣,胁/涣,10,85,67,1432.57418788
低息贷款,低息/贷款,17,27,2024,253.796424389
焕发出,焕发/出,15,33,3674,100.936680358
账款,账/款,10,56,118,1234.64134383
胁煌,胁/煌,10,85,140,685.58907563
企业家队伍,企业家/队伍,19,420,222,166.250203775
第373页,第373/页,19,19,3492,233.634306987
盟枷,盟/枷,10,45,94,1928.72576832
闲散资金,闲散/资金,11,13,4223,163.470391082
选择性激励,选择性/激励,12,65,638,236.079382686
年代上半期,年代/上半期,17,4656,24,124.118225587
修改宪法,修改/宪法,11,196,221,207.183511866
10亿美元,10亿/美元,35,66,3855,112.230417011
注册会计师,注册/会计师,46,260,87,1659.11343943
1—9月,1—9/月,19,21,628,1175.39952988
澳府,澳/府,11,615,69,211.484882762
攀疲,攀/疲,24,174,191,589.168441957
洪涝灾害,洪涝/灾害,19,21,41,18003.6806039
皇枪,皇/枪,14,214,185,288.505026522
纬梢,纬/梢,11,115,242,322.470750988
在职职工,在职/职工,19,61,1468,173.104580783
不可否认,不可/否认,34,690,152,264.482589626
如何应对,如何/应对,15,1685,69,105.257515159
约束软化,约束/软化,11,1370,28,233.951016684
⒄褂,⒄/褂,12,852,96,119.696449531
基层党组织,基层/党组织,15,235,83,627.416816201
登记注册,登记/注册,13,209,260,195.179665072
使用童工,使用/童工,10,1886,30,144.194238247
清理整顿,清理/整顿,25,116,186,945.322348906
更不用说,更/不用说,16,6900,16,118.239275362
债务包袱,债务/包袱,15,756,110,147.159271284
干部队伍,干部/队伍,21,421,222,183.313763883
过分依赖,过分/依赖,46,206,928,196.315000418
二十一世纪,二十一/世纪,46,49,3220,237.857434402
缺失,缺/失,18,134,115,952.973264114
委员会主席,委员会/主席,10,432,111,170.139097431
固定基,固定/基,10,405,127,158.617867211
平均级数,平均/级数,16,2100,20,310.800380952
最高纪录,最高/纪录,13,571,42,442.250979902
瑞典学派,瑞典/学派,26,106,413,484.538489652
铰裕,铰/裕,14,78,164,892.895090682
养老保障,养老/保障,78,276,1803,127.879415949
户均净资产,户均/净资产,10,47,129,1345.62262906
确矫,确/矫,29,146,295,549.330833527
责权,责/权,11,86,911,114.547788017
打击走私,打击/走私,15,202,78,776.705064737
斐闪,斐/闪,10,78,68,1538.1806184
远远大于,远远/大于,24,376,473,110.096396923
行政隶属,行政/隶属,22,1675,78,137.380191351
硕士论文,硕士/论文,14,77,411,360.916168989
成熟债务国,成熟/债务国,55,633,69,1027.35547313
剩余劳动力,剩余/劳动力,310,578,3595,121.715478534
1987年10月,1987年/10月,11,271,306,108.221317801
基因工程,基因/工程,17,35,744,532.621620584
行动纲领,行动/纲领,11,429,76,275.253373819
双轨制,双轨/制,71,130,1241,359.049284076
年均增速,年均/增速,14,579,176,112.085040823
保牌,保/牌,12,444,94,234.574755607
刮夜,刮/夜,20,65,307,817.69080431
党政领导,党政/领导,11,97,857,107.957042669
规章条例,规章/条例,14,87,180,729.368710089
斐傻,斐/傻,15,78,113,1388.44622192
调往,调/往,11,215,217,192.35582467
弹性系数,弹性/系数,69,426,550,240.263418694
预算外资金,预算外/资金,12,22,4223,105.377607474
萨伊,萨/伊,10,18,29,15629.3295019
糠帧,糠/帧,12,106,88,1049.55102916
联合声明,联合/声明,17,695,43,464.094595951
乾隆朝,乾隆/朝,10,30,113,2406.64011799
