复旦经济,句子数量,815851,方法,mi,support,10,阈值,200
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
高素质人才,高素质/人才,13,30,1638,215.833597884
巳衔,巳/衔,10,36,138,1642.21215781
紧紧抓住,紧紧/抓住,16,76,346,496.410708853
偷税漏税,偷税/漏税,19,32,27,17941.1678241
远洋运输,远洋/运输,12,34,721,399.372277066
共产党宣言,共产党/宣言,38,84,62,5952.82987711
合乎逻辑,合乎/逻辑,23,81,461,502.519295145
无产阶级专政,无产阶级/专政,16,156,32,2614.90705128
6月9日,6月/9日,11,308,35,832.501020408
千年回合,千年/回合,10,40,77,2648.86688312
袷杖,袷/杖,14,55,182,1141.05034965
CPA意见,CPA/意见,15,15,347,2351.1556196
周期长度,周期/长度,16,1200,50,217.560266667
肪常,肪/常,17,161,215,400.677943088
肪巢,肪/巢,29,161,49,2999.07199899
超额准备金,超额/准备金,11,54,143,1162.18091168
1997—1998年度,1997—1998/年度,20,34,476,1008.21922887
战争赔偿,战争/赔偿,11,271,103,321.511876187
拖垮,拖/垮,12,137,30,2382.04671533
破产清算,破产/清算,15,457,75,357.046389497
肪车,肪/车,16,161,174,465.967587635
统一大业,统一/大业,11,1505,15,397.535370986
趋于饱和,趋于/饱和,18,453,135,240.132744665
双边贸易额,双边/贸易额,15,169,187,387.234281556
再生产图式,再生产/图式,10,221,20,1845.81674208
研究所研究员,研究所/研究员,24,502,163,239.293427517
Ｏ衷,Ｏ/衷,17,82,71,2382.25128822
基塘,基/塘,16,127,47,2186.90165857
盐铁,盐/铁,47,227,134,1260.60217634
奖获得者,奖/获得者,38,158,56,3503.88087703
芝加哥大学,芝加哥/大学,14,26,1403,313.11787927
陷入困境,陷入/困境,57,386,343,351.240252874
本刊记者,本刊/记者,10,28,228,1277.96209273
⒉煌,⒉/煌,10,121,140,481.612160567
奥地利学派,奥地利/学派,42,69,413,1202.43330877
⒉皇,⒉/皇,13,121,214,409.595388893
会计师事务所,会计师/事务所,10,87,51,1838.74464728
底子薄,底子/薄,12,18,153,3554.90631808
石油化工,石油/化工,42,501,217,315.182924474
试析,试/析,14,339,95,354.662754231
化学原料,化学/原料,18,148,385,257.727588628
本文拟就,本文/拟就,16,982,16,830.805498982
木咛,木/咛,11,356,66,381.952715356
鞣矫,鞣/矫,11,85,295,357.900737787
沉重打击,沉重/打击,16,170,202,380.128596389
褪撬,褪/撬,10,190,63,681.57978279
北方省份,北方/省份,20,192,179,474.773626629
纸制品业,纸制品/业,14,20,1615,353.619628483
奶厥,奶/厥,11,146,103,596.77889347
闷笠,闷/笠,14,35,945,345.333756614
登记备案,登记/备案,16,209,24,2602.39553429
砺郏,砺/郏,12,125,46,1702.64556522
己玫,己/玫,18,88,355,470.080601793
储运,储/运,11,30,190,1574.44929825
逾放,逾/放,10,34,516,465.031349749
问剑,问/剑,15,202,147,412.129218024
问健,问/健,11,202,140,317.339497878
钢产量,钢/产量,20,97,729,230.749932827
∩希,∩/希,20,91,136,1318.44053006
珠三角,珠/三角,55,125,81,4431.78320988
扶贫攻坚,扶贫/攻坚,11,122,53,1387.93086916
回购,回/购,21,283,196,308.878470469
各省区,各省/区,14,51,1103,203.0454198
治理整顿,治理/整顿,54,660,186,358.878739003
非营利,非/营利,16,2001,22,296.524828495
奶跫,奶/跫,19,146,174,610.186151787
各省市,各省/市,14,51,788,284.212053349
脑黾,脑/黾,10,207,112,351.902605245
砺匏,砺/匏,24,125,30,5221.4464
∩系,∩/系,17,91,560,272.163795133
嗍视,嗍/视,10,52,224,700.421531593
兼顾公平,兼顾/公平,38,154,980,205.422329711
矫嬉,矫/嬉,14,295,25,1548.73410169
优良品种,优良/品种,16,88,379,391.389301991
双赢,双/赢,21,233,71,1035.65683371
欧美,欧/美,223,466,1091,357.853316051
生命周期,生命/周期,87,182,1200,324.995590659
Ｖ泄,Ｖ/泄,16,151,401,215.580518901
副局长,副/局长,10,324,22,1144.57210999
木赫,木/赫,34,356,226,344.771477578
畔⒒,畔/⒒,27,182,123,984.006834629
畔⒓,畔/⒓,13,182,96,607.031994048
畔⒌,畔/⒌,20,182,103,870.426757708
手工作坊,手工/作坊,11,77,19,6134.21804511
卢布贬值,卢布/贬值,15,108,479,236.560832753
港珠,港/珠,24,494,125,317.09188664
江泽民同志,江泽民/同志,115,269,561,621.718154649
逃债,逃/债,13,103,264,390.043505443
桑园面积,桑园/面积,21,55,480,648.972386364
梯度推移,梯度/推移,14,64,62,2878.50655242
港府,港/府,10,494,69,239.350759843
民乐镇,民乐/镇,10,13,184,3410.74832776
半殖民地半封建,半殖民地/半封建,28,57,47,8526.99813363
第25卷,第25/卷,18,37,1081,367.160487037
⑽幕,⑽/幕,14,56,293,696.118600683
索洛,索/洛,25,42,39,12451.9383394
试错,试/错,13,339,83,376.943632939
沉船考古,沉船/考古,10,66,99,1248.62411999
渲玫,渲/玫,13,98,355,304.8595286
海外华人,海外/华人,12,439,85,262.3666622
新华文摘,新华/文摘,13,28,40,9469.69910714
繁体字＠,繁体字/＠,16,20,335,1948.30089552
截然相反,截然/相反,13,35,563,538.242222786
光明日报,光明/日报,28,61,166,2255.95773257
参考文献,参考/文献,355,574,2166,232.953295466
阂皇,阂/皇,14,33,214,1617.37666383
救贫,救/贫,13,46,464,496.910747751
福山,福/山,11,57,138,1140.90528858
那个时候,那个/时候,11,78,530,217.086623125
张皮,张/皮,11,323,37,750.929712995
东南沿海,东南/沿海,63,116,731,606.144311052
张军,张/军,18,323,77,590.459490973
胧谐,胧/谐,37,144,832,251.957189837
长江中下游,长江/中下游,12,272,24,1499.72610294
哥伦比亚大学,哥伦比亚/大学,11,31,1403,206.34035362
国土面积,国土/面积,20,104,480,326.86338141
下岗分流,下岗/分流,29,561,147,286.898747378
电子联行,电子/联行,10,1721,11,430.960329618
赡苄,赡/苄,19,188,42,1963.1672999
赡苁,赡/苁,16,188,67,1036.33026358
堤寰,堤/寰,15,44,124,2242.99211877
互惠互利,互惠/互利,19,53,84,3481.84389039
经济法立法权,经济法/立法权,70,341,139,1204.86866812
王洛林,王/洛林,15,194,16,3942.57893041
试吹,试/吹,24,339,154,375.060797609
开埠,开/埠,25,503,49,827.535805575
下岗职工,下岗/职工,221,561,1468,218.934501693
篇文章,篇/文章,52,312,547,248.583485679
试础,试/础,10,339,64,376.037518437
幸恍,幸/恍,10,160,141,361.63608156
广播电视,广播/电视,13,58,104,1758.29956897
存续,存/续,10,292,46,607.39353782
淘汰出局,淘汰/出局,15,199,23,2673.75245794
贸工农一体化,贸工农/一体化,10,18,1546,293.176297255
挥惺,挥/惺,13,203,123,424.76923385
波浪式,波浪/式,14,16,985,724.740736041
试春,试/春,13,339,72,434.532243527
财会月刊,财会/月刊,12,53,48,3848.35377358
嵌瓤,嵌/瓤,10,132,26,2377.18822844
种植面积,种植/面积,28,96,480,495.742795139
器材制造业,器材/制造业,25,35,1266,460.308621079
棵诺,棵/诺,26,137,234,661.679643147
甲什,甲/什,10,100,175,466.200571429
副会长,副/会长,11,324,35,791.389858907
寻租,寻/租,170,182,350,2177.31036107
衍生工具,衍生/工具,48,235,747,223.081534649
前景看好,前景/看好,12,526,62,300.202747455
不良债权,不良/债权,142,554,279,749.523452765
互联网用户,互联网/用户,10,255,158,202.494663688
东扩,东/扩,29,441,105,510.953007235
锥蔚,锥/蔚,16,94,55,2524.87736944
苍白无力,苍白/无力,11,13,127,5435.71229558
飞机制造,飞机/制造,12,50,493,397.168843813
粗放度,粗放/度,32,145,650,276.999809019
纬闪,纬/闪,15,115,68,1564.93158568
兆韩元,兆/韩元,15,46,35,7601.09627329
奠定坚实,奠定/坚实,13,277,121,316.438314885
连理工大,连理/工大,11,12,19,39361.2324561
医疗卫生,医疗/卫生,16,374,145,240.70839019
轨道上来,轨道/上来,24,255,69,1112.8402387
农副产品收购,农副产品/收购,13,135,347,226.407578183
第十五次,第十五/次,16,20,3195,204.281940532
泰益,泰/益,19,73,144,1474.61653349
邓小平文选,邓小平/文选,256,1111,351,535.586522755
恶性膨胀,恶性/膨胀,11,143,287,218.668185473
放权让利,放权/让利,52,97,74,5910.31652271
哂兄,哂/兄,14,156,279,262.427947799
异动,异/动,12,96,167,610.666916168
中立型,中立/型,15,26,1712,274.931816139
人均占有量,人均/占有量,40,1299,58,433.145390353
春秋战国,春秋/战国,11,25,32,11217.95125
纬傻,纬/傻,26,115,113,1632.32981916
成反比,成/反比,16,1351,18,536.788222716
唐肥,唐/肥,10,147,68,816.177470988
新华社记者,新华社/记者,13,145,228,320.812552934
委托代理,委托/代理,54,228,215,898.734271726
屠投,屠/投,14,44,415,625.515553122
消灭私有制,消灭/私有制,48,230,518,328.696055061
拟合,拟/合,30,135,228,795.176413255
共同富裕,共同/富裕,239,1738,411,272.971406292
句空话,句/空话,20,163,23,4352.36596426
贫刃,贫/刃,10,464,63,279.095169677
从中受益,从中/受益,10,88,160,579.439630682
渠道狭窄,渠道/狭窄,11,707,63,201.485395478
薄ⅰ,薄/ⅰ,15,153,62,1290.08697027
钱纳里,钱/纳里,14,657,14,1241.78234399
综合商社,综合/商社,15,1400,23,380.054813665
社会科学季刊,社会科学/季刊,13,435,32,761.929813218
幅员辽阔,幅员/辽阔,13,29,47,7781.4108584
连年丰收,连年/丰收,13,78,54,2518.05864198
特许连锁,特许/连锁,15,74,192,861.329180743
博士研究生,博士/研究生,22,199,115,784.300720996
殉晌,殉/晌,14,22,137,3789.61977439
祖国大陆,祖国/大陆,137,276,567,714.231954349
实施细则,实施/细则,11,2264,15,264.262691402
薄赋,薄/赋,19,153,102,993.2826477
胁涣,胁/涣,10,85,67,1432.57418788
低息贷款,低息/贷款,17,27,2024,253.796424389
账款,账/款,10,56,118,1234.64134383
胁煌,胁/煌,10,85,140,685.58907563
第373页,第373/页,19,19,3492,233.634306987
盟枷,盟/枷,10,45,94,1928.72576832
选择性激励,选择性/激励,12,65,638,236.079382686
修改宪法,修改/宪法,11,196,221,207.183511866
注册会计师,注册/会计师,46,260,87,1659.11343943
1—9月,1—9/月,19,21,628,1175.39952988
澳府,澳/府,11,615,69,211.484882762
攀疲,攀/疲,24,174,191,589.168441957
洪涝灾害,洪涝/灾害,19,21,41,18003.6806039
皇枪,皇/枪,14,214,185,288.505026522
纬梢,纬/梢,11,115,242,322.470750988
不可否认,不可/否认,34,690,152,264.482589626
约束软化,约束/软化,11,1370,28,233.951016684
基层党组织,基层/党组织,15,235,83,627.416816201
清理整顿,清理/整顿,25,116,186,945.322348906
赚汇,赚/汇,14,77,121,1225.92186326
二十一世纪,二十一/世纪,46,49,3220,237.857434402
缺失,缺/失,18,134,115,952.973264114
平均级数,平均/级数,16,2100,20,310.800380952
最高纪录,最高/纪录,13,571,42,442.250979902
瑞典学派,瑞典/学派,26,106,413,484.538489652
铰裕,铰/裕,14,78,164,892.895090682
户均净资产,户均/净资产,10,47,129,1345.62262906
确矫,确/矫,29,146,295,549.330833527
打击走私,打击/走私,15,202,78,776.705064737
斐闪,斐/闪,10,78,68,1538.1806184
硕士论文,硕士/论文,14,77,411,360.916168989
成熟债务国,成熟/债务国,55,633,69,1027.35547313
基因工程,基因/工程,17,35,744,532.621620584
行动纲领,行动/纲领,11,429,76,275.253373819
双轨制,双轨/制,71,130,1241,359.049284076
保牌,保/牌,12,444,94,234.574755607
刮夜,刮/夜,20,65,307,817.69080431
规章条例,规章/条例,14,87,180,729.368710089
斐傻,斐/傻,15,78,113,1388.44622192
弹性系数,弹性/系数,69,426,550,240.263418694
萨伊,萨/伊,10,18,29,15629.3295019
糠帧,糠/帧,12,106,88,1049.55102916
联合声明,联合/声明,17,695,43,464.094595951
乾隆朝,乾隆/朝,10,30,113,2406.64011799
银企重组,银企/重组,18,61,799,301.30527914
第322页,第322/页,10,10,3492,233.634306987
东欧剧变,东欧/剧变,15,364,51,659.220265029
朱总理,朱/总理,10,84,122,796.107533177
动态模拟,动态/模拟,29,668,153,231.494647959
电力蒸汽,电力/蒸汽,10,306,23,1159.20858198
翻一番,翻/一番,22,94,71,2689.35001498
芒德尔,芒/德尔,25,65,27,11621.8091168
恶性循环,恶性/循环,36,143,603,340.612044672
弥贫,弥/贫,43,141,464,536.219017486
苏东,苏/东,27,154,441,324.351046912
那疤,那/疤,11,671,35,382.131615925
华东师范大学,华东/师范大学,11,27,121,2746.97306397
农林牧渔业,农林牧/渔业,12,16,144,4249.22395833
第12版,第12/版,57,134,1474,235.441721177
有色金属冶炼,有色金属/冶炼,23,54,57,6096.35250162
黑箱,黑/箱,14,55,46,4514.59051383
远远超出,远远/超出,22,376,177,269.694704892
蟛糠,蟛/糠,13,59,106,1695.88471378
流动性陷阱,流动性/陷阱,35,269,169,628.116077517
联邦德国,联邦/德国,37,212,611,233.042699873
避税,避/税,11,27,851,390.580188885
朝鲜半岛,朝鲜/半岛,10,85,38,2525.85448916
迁海,迁/海,12,105,179,520.894493216
天津开发区,天津/开发区,26,251,350,241.45846329
隐蔽失业率,隐蔽/失业率,13,59,698,257.541231606
邮电通信业,邮电/通信业,11,89,16,6302.21980337
稳态,稳/态,14,142,85,946.306048053
股份有限公司,股份/有限公司,65,505,186,564.572713723
列宁选集,列宁/选集,29,311,178,427.394035189
交税金,交/税金,12,410,62,385.13815893
货仓,货/仓,11,238,39,966.856388709
博士生导师,博士生/导师,55,101,62,7165.73059725
离土,离/土,28,197,120,966.320981387
前沿阵地,前沿/阵地,14,109,41,2555.80980085
权威人士,权威/人士,10,178,171,268.036993232
冷战结束,冷战/结束,50,130,399,786.438210912
最低运量,最低/运量,10,406,23,873.689226815
负担过重,负担/过重,14,713,39,410.756787859
郑氏政权,郑氏/政权,15,20,226,2707.47013274
突破性进展,突破性/进展,15,41,388,769.283693739
12月7日,12月/7日,16,309,39,1083.19774293
趋于缓和,趋于/缓和,13,453,88,266.056165964
≈魈,≈/魈,10,45,107,1694.39460021
建国50年,建国/50年,13,247,205,209.461103979
安第斯共同体,安第斯/共同体,14,14,167,4885.33532934
永续,永/续,12,57,46,3733.87185355
蚕种饲养量,蚕种/饲养量,12,50,14,13986.0171429
充满信心,充满/信心,18,189,342,227.19326093
选民们,选民/们,10,72,552,205.276519726
俏夜,俏/夜,18,65,307,735.921723879
严复文选,严复/文选,74,207,351,830.931279849
各级领导班子,各级/领导班子,11,390,55,418.385128205
酶母,酶/母,11,44,577,353.48830156
葡萄牙商人,葡萄牙/商人,12,175,265,211.109692722
江泽民总书记,江泽民/总书记,45,269,68,2007.06839055
不可低估,不可/低估,33,690,99,394.130917874
南朝鲜,南/朝鲜,10,474,85,202.494663688
桃狄,桃/狄,26,54,69,5693.00214707
显得尤为,显得/尤为,16,238,135,406.275007781
各族人民,各族/人民,26,28,2228,340.02510259
游戏规则,游戏/规则,85,125,1116,497.113512545
涣甲,涣/甲,10,67,100,1217.6880597
暂行规定,暂行/规定,35,72,1463,271.082868155
见端倪,见/端倪,15,993,40,308.100830816
仪器仪表,仪器/仪表,30,68,39,9229.08371041
跋斓,跋/斓,10,158,100,516.361392405
毛泽东选集,毛泽东/选集,36,274,178,602.202821291
具代表性,具/代表性,14,310,112,328.972177419
住房公积金,住房/公积金,10,600,15,906.501111111
活期存款,活期/存款,22,31,783,739.452148478
潭壬,潭/壬,25,103,36,5500.6135383
刘宪法,刘/宪法,12,128,221,346.09063914
贫困线以下,贫困线/以下,25,41,1452,342.610276826
噬鲜,噬/鲜,12,58,139,1214.36516993
绩差,绩/差,32,62,758,555.5202996
江南平原,江南/平原,10,204,49,816.177470988
绩优,绩/优,19,62,531,470.845301015
大干快,大干/快,10,10,1443,565.385308385
换算成,换算/成,15,40,1351,226.457531458
奢崇俭,奢/崇俭,14,43,16,16601.619186
檬盗,檬/盗,14,110,98,1059.54675325
字路,字/路,62,387,486,268.93994109
核资,核/资,11,58,297,520.977650064
CGE模型,CGE/模型,11,18,1506,331.05950273
现实主义运动,现实主义/运动,18,43,686,497.841141772
薪酬,薪/酬,17,112,36,3439.84796627
檬贝,檬/贝,26,110,101,1909.28226823
收支差额,收支/差额,18,475,140,220.831849624
至1891年,至/1891年,10,1812,12,375.207413539
抽样调查,抽样/调查,20,48,733,463.762505684
赛博,赛/博,10,29,330,852.508881923
耐用消费品,耐用/消费品,117,125,719,1062.08141307
消灭剥削,消灭/剥削,25,230,222,399.457011359
涉及面广,涉及面/广,10,21,250,1554.00190476
被誉为,被/誉为,24,3495,28,200.086082158
中共十四,中共/十四,16,144,117,774.787274454
牟涣,牟/涣,13,207,67,764.731631697
纺织成衣,纺织/成衣,13,240,38,1162.94550439
记录媒介,记录/媒介,11,168,91,587.019950288
军费开支,军费/开支,22,29,309,2002.98203326
定期存款,定期/存款,28,129,783,226.160840338
夺取政权,夺取/政权,11,30,226,1323.6520649
养蚕,养/蚕,51,132,231,1364.56778827
潭鹊,潭/鹊,16,103,143,886.252698758
朝鲜战争,朝鲜/战争,10,85,271,354.178858259
差值率,差值/率,10,11,1587,467.348914476
企事业单位,企事业/单位,41,52,1860,345.842545492
省级农垦,省级/农垦,10,60,104,1307.45352564
琼斯指数,琼斯/指数,13,32,753,440.158657039
待购,待/购,11,144,196,317.969139739
件好事,件/好事,15,296,36,1148.43890766
探析,探/析,26,47,95,4750.75610302
习惯性通道,习惯性/通道,10,13,359,1748.12727662
Ｔ谡,Ｔ/谡,30,198,114,1084.33147262
Ｔ诠,Ｔ/诠,14,198,172,335.386246183
日韩三国,日/韩三国,11,915,12,817.337067395
古典主义复兴,古典主义/复兴,19,75,96,2152.94013889
簿褪,簿/褪,13,70,190,797.448345865
锥危,锥/危,25,94,79,2746.60315109
副主席,副/主席,11,324,111,249.537342898
规制,规/制,87,110,1241,519.954853124
火炬计划,火炬/计划,10,13,2775,226.154123354
副主任,副/主任,31,324,91,857.800196717
电话普及率,电话/普及率,11,189,47,1010.28492626
代表人物,代表/人物,54,1203,94,389.592985621
双紧,双/紧,15,233,144,364.740253934
公益事业,公益/事业,16,52,636,394.702951137
呕菡,呕/菡,20,61,24,11145.5054645
广东省委,广东/省委,17,458,69,438.879406367
建模,建/模,13,214,191,259.481895582
层含义,层/含义,23,223,320,262.956460202
紧紧围绕,紧紧/围绕,34,76,286,1276.17473316
谥贫,谥/贫,15,118,464,223.512657072
家庭副业,家庭/副业,12,1145,33,259.103136165
⒄咕,⒄/咕,11,852,37,284.683447532
摘要题,摘要/题,29,150,110,1433.91993939
主观意志,主观/意志,16,244,211,253.547043742
绱耍,绱/耍,11,21,194,2202.8377516
全盘否定,全盘/否定,12,37,405,653.334134134
失业救济金,失业/救济金,12,1480,13,508.846777547
饭吃,饭/吃,14,54,265,798.177078966
刚刚起步,刚刚/起步,27,151,226,645.489568071
瓜菜,瓜/菜,13,43,42,5872.68161683
抵押担保,抵押/担保,10,145,261,215.576958647
还本付息,还本/付息,45,51,56,12854.7951681
熟练工人,熟练/工人,19,89,811,214.760096427
皇窃,皇/窃,11,214,113,371.117401373
苏维埃政权,苏维埃/政权,13,42,226,1117.36862621
交通运输,交通/运输,158,758,721,235.864981574
解散托拉斯,解散/托拉斯,10,32,25,10198.1375
江东犁,江东/犁,12,14,41,17056.1184669
知名品牌,知名/品牌,19,60,190,1359.75166667
解脱出来,解脱/出来,21,27,889,713.78040245
江小涓,江小/涓,22,22,46,17735.8913043
1月2日,1月/2日,10,275,29,1023.01065831
党政社团,党政/社团,25,97,200,1051.35438144
币待,币/待,10,176,144,321.910905934
庇古,庇/古,10,47,94,1846.65233137
检验真理,检验/真理,12,266,86,427.968700822
增发1000亿,增发/1000亿,18,117,118,1063.69100391
暂行条例,暂行/条例,19,72,180,1196.07785494
放开搞活,放开/搞活,33,342,162,485.941141434
买不到,买/不到,10,339,69,348.788422898
拐铰,拐/铰,24,55,78,4564.2013986
基金管理人,基金/管理人,54,1206,55,664.19348711
煊颍,煊/颍,17,73,114,1666.60261956
教研部,教研/部,10,12,563,1207.59473061
反倾销,反/倾销,69,585,91,1057.45691744
结社自由,结社/自由,11,22,1654,246.629685611
摊销,摊/销,21,42,192,2124.61197917
从业人数,从业/人数,40,267,596,205.075283413
经典著作,经典/著作,12,124,292,270.38809103
中外合资,中外/合资,15,125,214,457.486542056
商馆,商/馆,12,625,38,412.219452632
淡水养殖业,淡水/养殖业,12,79,37,3349.37119398
兄朴,兄/朴,14,279,44,930.426360378
焙汀,焙/汀,11,39,51,4511.99648064
海洋考古,海洋/考古,32,269,99,980.332394578
首席执行官,首席/执行官,12,32,12,25495.34375
卫生保健,卫生/保健,13,145,88,831.196159875
从业人员,从业/人员,205,267,1956,320.246652957
股分红,股/分红,12,828,48,246.331823671
