复旦计算机,句子数量,464392,方法,mi,support,10,阈值,100
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
实部,实/部,22,239,197,216.991780473
报文,报/文,184,317,1165,231.375497218
求解TSP,求解/TSP,10,883,42,125.220298765
水汽压,水汽/压,11,11,86,5399.90697674
启发式,启/发式,59,84,59,5528.47619048
综合火力,综合/火力,13,571,26,406.647985989
第3节,第3/节,55,290,653,134.876485188
局矿,局/矿,10,82,37,1530.62623599
逻辑推演,逻辑/推演,30,1230,54,209.752484192
天气预报,天气/预报,11,32,85,1878.05588235
激光雕刻,激光/雕刻,26,74,34,4798.96343402
有序类别,有序/类别,11,109,155,302.356436816
局存,局/存,25,82,172,823.156551333
获理学,获/理学,12,250,16,1393.176
不尽相同,不尽/相同,15,20,848,410.724056604
充分必要条件,充分/必要条件,75,721,137,352.606375978
阶段回溯,阶段/回溯,12,544,63,162.602240896
阎平凡,阎/平凡,10,10,33,14072.4848485
证毕,证/毕,117,299,119,1527.0471319
交易费用,交易/费用,13,201,208,144.400497512
固连,固/连,11,25,248,823.921290323
均匀分布,均匀/分布,54,175,1330,107.742934479
放入,放/入,69,285,661,170.093415081
地理示意图,地理/示意图,19,82,169,636.704286333
请寄,请/寄,11,134,39,977.480290853
一一对应,一一/对应,56,78,1187,280.884280561
Beijing100084,Beijing/100084,24,84,175,758.191020408
Beijing100080,Beijing/100080,26,84,180,798.557671958
交互地震,交互/地震,21,731,52,256.556666316
欧拉,欧/拉,14,57,88,1296.14992026
松弛法,松弛/法,15,38,1441,127.212096863
POS终端,POS/终端,11,31,122,1350.69063987
1965年生,1965年/生,22,42,859,283.181551084
优先解释,优先/解释,33,294,338,154.217848086
委托交易,委托/交易,18,63,201,660.116560057
供应链,供应/链,13,24,1038,242.336865768
唯一.,唯/一.,11,18,115,2467.78357488
椭圆曲线,椭圆/曲线,14,48,604,224.251103753
复杂巨,复杂/巨,23,1423,27,277.999427396
多媒体素材,多媒体/素材,13,959,46,136.852155778
电子商务,电子/商务,195,828,223,490.438032105
转发引擎,转发/引擎,17,225,135,259.906633745
同济大学,同济/大学,26,26,1861,249.53895755
迅速发展,迅速/发展,42,142,1208,113.704785001
抽象级别,抽象/级别,13,501,104,115.866267465
硕士研究生,硕士/研究生,49,203,220,509.521003135
AGP总线,AGP/总线,14,59,447,246.520608198
下位机,下位/机,61,70,1317,307.277492136
机电一体化,机电/一体化,12,54,36,2866.61728395
模糊Flow,模糊/Flow,14,1656,36,109.056092324
外层循环,外层/循环,29,71,583,325.353755466
ATM交换机,ATM/交换机,26,272,182,243.903361345
倒立摆,倒立/摆,60,61,78,5856.14123581
拓朴,拓/朴,16,34,23,9501.62659847
新增实例,新增/实例,15,36,905,213.808471455
例1:,例/1:,15,1044,22,303.28631139
POP3服务器,POP3/服务器,13,18,2944,113.924667874
摄像机坐标系,摄像机/坐标系,10,254,142,128.754574692
拓广,拓/广,13,34,126,1409.2194211
邮电学院,邮电/学院,12,40,373,373.505630027
各个PN,各个/PN,12,650,46,186.378060201
获学士,获/学士,15,250,32,870.735
引言近年来,引言/近年来,16,335,181,122.540974685
热键,热/键,24,82,206,659.803930855
Lipschitz条件,Lipschitz/条件,13,22,2305,119.051390258
SRP协议,SRP/协议,10,18,1737,148.529392951
70年代,70/年代,20,57,180,905.247563353
注册表编辑器,注册表/编辑器,12,58,119,807.404230658
互不相交,互不/相交,15,55,210,603.106493506
极为重要,极为/重要,12,43,1145,113.185823093
主动数据包,主动/数据包,22,312,280,116.948534799
资源预留,资源/预留,15,1376,46,110.052451972
博士研究生,博士/研究生,94,528,220,375.799311295
CAMAC模块,CAMAC/模块,10,35,1262,105.137423591
国家杰出,国家/杰出,10,816,16,355.692401961
联系起来,联系/起来,33,314,453,107.738473868
L2增益,L2/增益,15,115,434,139.568823883
碰撞检测,碰撞/检测,14,39,797,209.165395876
感知器,感知/器,48,170,1269,103.327381449
60年代,60/年代,12,87,180,355.855938697
多重循环,多重/循环,13,69,583,150.075720287
1967年生,1967年/生,15,28,859,289.617495427
不可微,不可/微,15,160,336,129.573660714
确信信念,确信/信念,45,90,292,795.191780822
串口,串/口,134,576,323,334.475662195
RBF神经,RBF/神经,32,81,1615,113.599694225
范围之内,范围/之内,19,748,40,294.901336898
常规PID,常规/PID,16,178,295,141.502037707
刚体运动,刚体/运动,12,28,679,293.115085209
抓取力,抓取/力,30,72,213,908.435054773
滑模,滑/模,21,46,843,251.488782299
零均值,零/均值,19,484,144,126.59905877
大幅度提高,大幅度/提高,10,21,1197,184.744400684
中断屏蔽,中断/屏蔽,11,530,83,116.124391907
算术编码,算术/编码,23,62,818,210.604464074
脑电,脑/电,11,86,273,217.578669393
不再赘述,不再/赘述,27,218,29,1983.3255299
国家教委博士,国家教委/博士,16,44,528,319.829201102
倾斜角度,倾斜/角度,10,32,328,442.446646341
结合起来,结合/起来,95,826,453,117.904419822
防腐层,防腐/层,16,18,2268,182.0074466
顺时针,顺/时针,19,29,20,15212.8413793
PchType关键字,PchType/关键字,15,31,156,1440.42183623
批化工,批/化工,19,108,137,596.340091917
辐射度,辐射/度,17,28,1101,256.087452965
国产微机,国产/微机,10,22,230,917.770750988
制造装配,制造/装配,13,321,123,152.903680065
上位机,上位/机,77,79,1317,343.686591121
CF文法,CF/文法,15,130,299,179.20967327
专业委员会,专业/委员会,32,200,66,1125.79878788
是非负,是非/负,12,108,207,249.27106817
WBTool工具,WBTool/工具,13,19,952,333.762494471
刀具轴线,刀具/轴线,12,122,29,1575.10005653
棵子树,棵子/树,16,16,1219,380.961443806
解码因子,解码/因子,12,195,263,108.661479965
非单调,非/单调,39,1202,129,116.803312309
侦听,侦/听,18,29,31,9298.17130145
ME芯片,ME/芯片,21,46,338,627.233856445
高级工程师,高级/工程师,11,146,90,388.76042618
字符发生器,字符/发生器,15,378,27,682.52792475
粗粒度,粗/粒度,17,78,210,481.96971917
连续衰减,连续/衰减,11,622,67,122.577914287
化工批处理,化工/批处理,39,137,69,1915.93018089
启动间距,启动/间距,12,434,52,246.929457639
全景颜色,全景/颜色,11,143,325,109.915266272
欧氏,欧/氏,16,57,55,2370.10271132
误差平方和,误差/平方和,10,1079,13,331.070079133
优秀论文,优秀/论文,11,64,299,266.947742475
慢速,慢/速,15,120,49,1184.67346939
检索主题,检索/主题,11,570,86,104.20873113
生命周期,生命/周期,39,85,786,271.086484059
高频分量,高频/分量,12,92,343,176.597287362
缺省,缺/省,84,141,127,2178.41782543
CASE工具,CASE/工具,10,12,952,406.505602241
获得令牌,获得/令牌,23,902,91,130.126166516
热门影片,热门/影片,10,34,57,2396.24355005
母联,母/联,11,34,80,1878.05588235
泛函,泛/函,17,123,48,1337.17208672
武汉430072,武汉/430072,13,165,21,1742.30764791
立方体cube=,立方体/cube=,10,166,13,2151.95551437
左上角,左上/角,11,23,235,945.108603145
施伯乐,施/伯乐,13,31,13,14980.3870968
群体感知,群体/感知,10,246,170,111.045432807
电视节目,电视/节目,12,137,70,581.095307612
同期检查,同期/检查,11,35,418,349.166917293
3D重建,3D/重建,14,41,239,663.484845392
换名,换/名,16,68,441,247.774843271
抽取格式,抽取/格式,27,211,504,117.905890318
北京100871,北京/100871,22,1029,24,413.695497247
4-块,4-/块,11,13,746,526.738709012
线性ARMA,线性/ARMA,22,1419,27,266.662072926
待发表,待/发表,13,273,202,109.474776049
信号同期,信号/同期,10,1232,35,107.697588126
湖南大学,湖南/大学,10,24,1861,103.974565646
24小时,24/小时,16,257,99,292.036002044
相位滞后,相位/滞后,14,139,182,256.996126176
亲子,亲/子,24,25,2129,209.401747299
虚时钟,虚/时钟,93,204,265,798.898557159
图案元素,图案/元素,33,180,791,107.634049726
从事博士后,从事/博士后,13,156,95,407.361403509
1956年生,1956年/生,13,22,859,319.456873743
Microsoft公司,Microsoft/公司,40,88,624,338.280885781
鉴别诊断,鉴别/诊断,22,49,361,577.569336876
iua_gen函数,iua_gen/函数,11,11,4000,116.098
开关角,开关/角,28,247,235,224.015436299
缩写词,缩写/词,16,29,372,688.753429737
缓冲池,缓冲/池,20,127,55,1329.68360773
条射线,条/射线,10,1008,22,209.411976912
届全国,届/全国,13,85,79,899.046314222
笛卡尔,笛/卡尔,10,13,20,17861.2307692
规约继承,规约/继承,26,127,480,198.067454068
很难,很/难,194,2005,381,117.936193637
抗干扰能力,抗干扰/能力,18,42,1088,182.927521008
石纯一,石/纯一,18,45,20,9287.84
之一.,之/一.,76,757,115,405.41947045
开放实验室,开放/实验室,30,277,297,169.34398133
LonTalk协议,LonTalk/协议,10,17,1737,157.266416066
863计划,863/计划,13,100,370,163.164756757
1937年生,1937年/生,19,25,859,410.870686845
传函,传/函,13,239,48,526.246164575
巡岗,巡/岗,15,18,19,20368.0701754
绑定,绑/定,120,125,815,547.013889571
张钹,张/钹,12,257,12,1806.97276265
移动机器人,移动/机器人,58,424,532,119.408497659
驻地通讯,驻地/通讯,11,11,336,1382.11904762
有些学者,有些/学者,13,152,131,303.188830856
副研究员,副/研究员,17,89,97,914.475153481
钥匙库,钥匙/库,13,42,922,155.9006301
学士学位,学士/学位,18,32,262,997.02480916
竖直,竖/直,16,28,88,3015.53246753
例2:,例/2:,13,1044,20,289.132950192
篇文章,篇/文章,12,117,307,155.146412762
备份计费,备份/计费,12,152,198,185.164274322
锅炉燃烧,锅炉/燃烧,10,71,52,1257.83315276
删去,删/去,17,47,415,404.750781851
析取项,析取/项,10,32,1002,144.832834331
限于篇幅,限于/篇幅,70,117,122,2277.38825837
右半,右/半,19,249,248,142.885218293
时间量子,时间/量子,22,3706,23,119.859968559
分支机构,分支/机构,11,182,249,112.721479324
国内外学术,国内外/学术,21,114,195,438.696896086
压入,压/入,14,86,661,114.370193153
音乐喷泉,音乐/喷泉,24,46,53,4571.53732568
趋于零.,趋于/零.,18,110,47,1616.83868472
坐标值,坐/标值,10,18,11,23454.1414141
底面,底/面,25,104,809,137.988494818
会话公告,会话/公告,13,210,91,315.91292517
分数维,分数/维,11,28,1323,137.898499082
曙光1000,曙光/1000,20,33,70,4020.70995671
寻优,寻/优,80,133,1069,261.303586375
寻址,寻/址,29,133,55,1841.06192755
调用约定,调用/约定,32,1085,112,122.288874259
偏导数,偏/导数,21,225,122,355.272568306
不妨设,不妨/设,47,76,1591,180.508981442
异质,异/质,12,256,116,187.658405172
加载,加/载,84,459,173,491.253012959
辩识,辩/识,13,16,116,3252.74568966
脱机,脱/机,12,18,1317,235.075677044
PDF文件,PDF/文件,40,85,1823,119.877900035
本原蕴含,本原/蕴含,19,27,60,5446.57283951
前趋,前/趋,21,997,49,199.624014902
限幅,限/幅,14,122,313,170.258419316
Omega区域,Omega/区域,29,31,1462,297.148581263
台机组,台/机组,15,510,82,166.568149211
明显优于,明显/优于,14,263,89,277.758277438
SCET工具,SCET/工具,15,17,952,430.41769649
忙周期,忙/周期,21,49,786,253.212649945
行程编码,行程/编码,15,42,818,202.755850506
扭矩,扭/矩,11,19,74,3633.22332859
公平排队,公平/排队,11,72,144,492.699845679
验证过滤器,验证/过滤器,13,686,61,144.269368637
1938年生,1938年/生,20,27,859,400.458759108
9月生,9月/生,18,51,859,190.806820516
3月生,3月/生,14,50,859,151.373410943
道工序,道/工序,11,108,102,463.717501816
灰度直方图,灰度/直方图,14,252,65,396.916239316
PCI总线,PCI/总线,15,51,447,305.56125806
岩移,岩/移,17,32,160,1541.9265625
逆向仿真,逆向/仿真,44,93,997,220.373464479
黑箱,黑/箱,11,74,38,1816.6116643
单纯形,单纯/形,12,39,374,382.058412176
PC机上,PC/机上,17,240,84,391.600396825
COM视图,COM/视图,12,84,365,181.758121331
异构,异/构,153,256,269,1031.772421
物化视图,物化/视图,26,26,365,1272.30684932
个子种群,个子/种群,10,156,122,244.005884826
杰出青年,杰出/青年,12,16,39,8930.61538462
1999年10月,1999年/10月,11,134,51,747.4849283
一时间段,一时间/段,10,35,1063,124.819782287
一时间步,一时间/步,10,35,919,144.378050676
下降沿,下降/沿,12,167,180,185.386027944
取值范围,取值/范围,45,197,748,141.817367464
加速度闭环,加速度/闭环,30,211,575,114.830084484
之一．,之/一．,12,757,12,613.463672391
逆动力学,逆/动力学,22,260,237,165.800454398
加速比,加速/比,122,223,856,296.801391392
住宅小区,住宅/小区,22,30,113,3013.75339233
5月生,5月/生,22,32,859,371.675785797
缓存副本,缓存/副本,16,428,76,228.426955239
参阅文献,参阅/文献,15,22,2127,148.862674702
转矩,转/矩,15,267,74,352.559975706
难点在于,难点/在于,11,54,339,279.051240031
加速度传感器,加速度/传感器,26,211,279,205.102719598
零点截取,零点/截取,29,103,91,1436.82577617
发往,发/往,52,499,100,483.935551102
思考型,思考/型,11,28,963,189.449339861
PR控制器,PR/控制器,26,41,1806,163.063393026
PWM波,PWM/波,11,24,496,429.125672043
时间段内,时间段/内,18,48,1664,104.655649038
白长,白/长,28,148,571,153.86680551
火焰燃烧,火焰/燃烧,18,78,52,2060.9112426
光线跟踪,光线/跟踪,19,47,776,241.923886817
分散镇定,分散/镇定,19,213,385,107.59646363
数字地球,数字/地球,10,573,28,289.449015208
对角元素,对角/元素,18,100,791,105.677067004
直线斜率,直线/斜率,12,357,88,177.384262796
交叠,交/叠,23,457,50,467.440525164
先后顺序,先后/顺序,25,87,402,331.955166695
an710049,an/710049,10,61,61,1248.03009944
三维服装,三维/服装,16,523,74,191.98677071
锁存,锁/存,17,270,172,169.99707149
放音,放/音,23,285,149,251.525161898
尺寸TCU,尺寸/TCU,10,264,23,764.808959157
聚类,聚/类,355,359,4232,108.510802429
版号,版/号,28,104,924,135.312354312
MSPCMail邮局,MSPCMail/邮局,24,44,53,4779.33447684
闭店,闭/店,11,109,18,2603.62487258
地震信号,地震/信号,17,52,1232,123.230894106
渤海造船厂,渤海/造船厂,23,23,23,20190.9565217
跨平台,跨/平台,25,84,582,237.477499591
第j1,第/j1,14,919,52,136.048547753
远程接入,远程/接入,19,497,104,170.705927875
变异算子,变异/算子,27,172,482,151.242207855
DOS工作站,DOS/工作站,20,128,301,241.067275748
事务日志,事务/日志,21,652,88,169.970580033
保密会话,保密/会话,10,56,210,394.891156463
引脚,引/脚,57,847,106,294.82907487
发音语境,发音/语境,18,48,56,3109.76785714
微流水,微/流水,19,336,140,187.57329932
新一代,新/一代,37,2256,42,181.341860858
一直受到,一直/受到,12,159,222,157.875913649
干涉检验,干涉/检验,16,61,295,412.90758544
网上医院,网上/医院,11,282,50,362.291631206
原因在于,原因/在于,26,322,339,110.612066912
备机,备/机,12,40,1317,105.78405467
引理,引/理,608,847,888,375.397981216
1940年生,1940年/生,14,21,859,360.412883198
未知词,未知/词,29,292,372,123.981514214
延期工件,延期/工件,10,13,189,1890.07733008
转动惯量,转动/惯量,10,51,16,5691.07843137
长春130023,长春/130023,10,14,10,33170.8571429
PHP策略,PHP/策略,16,21,1114,317.614431051
第4节,第4/节,29,205,653,100.604101147
工作站机群,工作站/机群,14,301,74,291.886863608
华中师范大学,华中/师范大学,10,84,53,1043.10871518
能源测控,能源/测控,13,36,52,3224.94444444
关于DP,关于/DP,12,618,34,265.21530554
原始网格,原始/网格,39,256,539,131.256435529
敏捷制造,敏捷/制造,29,146,321,287.359023599
归约,归/约,71,375,205,428.901879675
掉电,掉/电,15,87,273,293.287861564
断点板,断点/板,10,56,186,445.844854071
综合评估,综合/评估,22,571,158,113.243742934
嵌套索引,嵌套/索引,20,225,359,114.984091613
BAAN软件,BAAN/软件,13,16,2978,126.701981195
脉动,脉/动,10,12,447,865.756897837
国际互联网络,国际/互联网络,11,282,116,156.160185865
1963年生,1963年/生,24,36,859,360.412883198
质心,质/心,20,116,89,899.635800077
永久化,永久/化,10,17,2318,117.848043445
基音周期,基音/周期,28,43,786,384.726196816
语音编,语音/编,10,413,110,102.221439577
征文范围,征文/范围,18,40,748,279.380213904
职能部门,职能/部门,10,23,248,814.151472651
偏移量,偏移/量,23,89,1061,113.111607663
超长方体,超/长方体,42,652,75,398.864294479
USB总线,USB/总线,19,104,447,189.80055068
校验器,校验/器,57,166,1269,125.65792247
实用价值,实用/价值,29,281,188,254.928598471
级联,级/联,14,676,80,120.219822485
确界,确/界,13,29,716,290.74821807
大大降低,大大/降低,30,289,406,118.735916273
苹果公司,苹果/公司,13,33,624,293.176767677
存储量,存/储量,18,172,18,2699.95348837
IF语句,IF/语句,14,107,517,117.527214881
失一般性,失/一般性,54,93,89,3029.74121058
机器人避,机器人/避,11,532,49,195.961025012
MCS仿真,MCS/仿真,11,42,997,121.992453551
拒识,拒/识,16,19,116,3371.26678766
叉树结构,叉/树结构,13,103,43,1363.08331452
通行能力,通行/能力,13,37,1088,149.967607313
Hilbert空间,Hilbert/空间,13,15,2136,188.42372035
IP隧道,IP/隧道,14,603,88,122.521634253
举例说明,举例/说明,17,45,870,201.651698595
视景,视/景,20,418,21,1058.08156756
LINK表,LINK/表,12,14,2717,146.503601661
安防,安/防,18,35,45,5307.33714286
感受野,感受/野,12,27,18,11466.4691358
事例单元,事例/单元,12,70,755,105.443784295
方形RB,方形/RB,12,73,25,3053.53643836
托肯,托/肯,26,31,26,14980.3870968
Laplace变换,Laplace/变换,11,14,962,379.292545293
对称正定,对称/正定,19,265,217,153.437927137
明细帐,明细/帐,12,14,192,2073.17857143
紧密结合,紧密/结合,17,70,826,136.53863715
协作群体,协作/群体,14,262,246,100.873332092
Harbin150001,Harbin/150001,11,15,70,4865.05904762
突发业务,突发/业务,14,41,436,363.69926158
1964年生,1964年/生,27,45,859,324.371594878
长沙铁道,长沙/铁道,10,98,21,2256.52089407
自然景物,自然/景物,16,296,89,282.047980565
上升沿,上升/沿,13,60,180,558.99037037
PID调节器,PID/调节器,22,295,99,349.824482109
多项式簇,多项式/簇,18,356,65,361.238375108
目通信,目/通信,53,83,2288,129.606411661
逐渐减小,逐渐/减小,10,126,94,392.090509963
身份验证,身份/验证,37,165,686,151.802314692
假想世界,假想/世界,14,21,405,764.43127572
HTML文档,HTML/文档,44,272,600,125.20372549
秒钟,秒/钟,11,124,41,1004.78206137
ELS辨识,ELS/辨识,10,19,540,452.623781676
卸载,卸/载,25,31,173,2164.79582323
油气勘探,油气/勘探,13,16,17,22195.2058824
微型电脑,微型/电脑,30,52,297,902.082362082
来稿请,来稿/请,14,65,134,746.439494834
铲斗,铲/斗,13,13,20,23219.6
滑窗,滑/窗,16,46,173,933.685850716
数组私有化,数组/私有化,11,374,24,569.107843137
无损压缩,无损/压缩,18,64,506,258.123023715
断路器,断路/器,11,14,1269,287.533040639
偏斜,偏/斜,26,225,61,879.722550091
清华大学出版社,清华大学/出版社,129,362,613,269.963714366
黑盒,黑/盒,12,74,221,340.754800049
几何造型,几何/造型,17,333,223,106.312554707
32位,32/位,60,283,775,127.042152057
Jacobi不等式,Jacobi/不等式,10,20,341,680.926686217
科目编码,科目/编码,10,32,818,177.411369193
增量编译器,增量/编译器,11,165,104,297.687179487
