复旦经济,句子数量,815851,方法,mi,support,10,阈值,300
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
基尼系数,基尼/系数,126,128,550,1460.18786932
信用评级,信用/评级,11,591,28,542.322999758
拗疲,拗/疲,14,36,191,1661.12769052
重新审视,重新/审视,45,768,90,531.152994792
国防开支,国防/开支,12,98,309,323.301367149
值得商榷,值得/商榷,11,483,26,714.632982959
铸币税,铸币/税,18,32,851,539.266965335
明郑,明/郑,12,224,127,344.14412261
三分天下,三分/天下,16,26,94,5341.08674304
重点西移,重点/西移,26,1671,40,317.356762418
耕犁,耕/犁,13,163,41,1587.02124794
鹄吹,鹄/吹,13,59,154,1167.29727053
集体农庄,集体/农庄,14,1055,19,569.813619356
去年同期,去年/同期,121,489,574,351.702510991
跃升,跃/升,23,134,206,679.777314882
尽人意,尽/人意,10,144,16,3541.01996528
非均衡性,非/均衡性,21,2001,28,305.791229385
哪谠,哪/谠,12,302,70,463.113150426
跃迁,跃/迁,12,134,105,695.821748401
工场手工业,工场/手工业,21,36,137,3473.81812652
普尔500,普尔/500,10,32,145,1758.29956897
旅游景点,旅游/景点,19,1210,31,413.254305519
烟草加工业,烟草/加工业,13,51,428,485.892569177
哪勘,哪/勘,17,302,111,413.742228984
税务司,税务/司,16,189,192,359.722663139
个体工商户,个体/工商户,47,817,48,977.789601183
退耕,退/耕,21,348,163,302.039189761
工农业总产值,工农业/总产值,45,154,593,402.020268938
11月15日,11月/15日,14,262,45,968.779813401
污染排放,污染/排放,10,450,58,312.586590038
售假,售/假,10,72,169,670.488987508
畲蠡,畲/蠡,25,62,53,6207.02221546
三峡工程,三峡/工程,13,20,744,712.773051075
乱集资,乱/集资,10,253,73,441.740754778
锰跫,锰/跫,11,113,174,456.431746516
巳衔,巳/衔,10,36,138,1642.21215781
紧紧抓住,紧紧/抓住,16,76,346,496.410708853
偷税漏税,偷税/漏税,19,32,27,17941.1678241
远洋运输,远洋/运输,12,34,721,399.372277066
共产党宣言,共产党/宣言,38,84,62,5952.82987711
合乎逻辑,合乎/逻辑,23,81,461,502.519295145
无产阶级专政,无产阶级/专政,16,156,32,2614.90705128
6月9日,6月/9日,11,308,35,832.501020408
千年回合,千年/回合,10,40,77,2648.86688312
袷杖,袷/杖,14,55,182,1141.05034965
CPA意见,CPA/意见,15,15,347,2351.1556196
肪常,肪/常,17,161,215,400.677943088
肪巢,肪/巢,29,161,49,2999.07199899
超额准备金,超额/准备金,11,54,143,1162.18091168
1997—1998年度,1997—1998/年度,20,34,476,1008.21922887
战争赔偿,战争/赔偿,11,271,103,321.511876187
拖垮,拖/垮,12,137,30,2382.04671533
破产清算,破产/清算,15,457,75,357.046389497
肪车,肪/车,16,161,174,465.967587635
统一大业,统一/大业,11,1505,15,397.535370986
双边贸易额,双边/贸易额,15,169,187,387.234281556
再生产图式,再生产/图式,10,221,20,1845.81674208
Ｏ衷,Ｏ/衷,17,82,71,2382.25128822
基塘,基/塘,16,127,47,2186.90165857
盐铁,盐/铁,47,227,134,1260.60217634
奖获得者,奖/获得者,38,158,56,3503.88087703
芝加哥大学,芝加哥/大学,14,26,1403,313.11787927
陷入困境,陷入/困境,57,386,343,351.240252874
本刊记者,本刊/记者,10,28,228,1277.96209273
⒉煌,⒉/煌,10,121,140,481.612160567
奥地利学派,奥地利/学派,42,69,413,1202.43330877
⒉皇,⒉/皇,13,121,214,409.595388893
会计师事务所,会计师/事务所,10,87,51,1838.74464728
底子薄,底子/薄,12,18,153,3554.90631808
石油化工,石油/化工,42,501,217,315.182924474
试析,试/析,14,339,95,354.662754231
本文拟就,本文/拟就,16,982,16,830.805498982
木咛,木/咛,11,356,66,381.952715356
鞣矫,鞣/矫,11,85,295,357.900737787
沉重打击,沉重/打击,16,170,202,380.128596389
褪撬,褪/撬,10,190,63,681.57978279
北方省份,北方/省份,20,192,179,474.773626629
纸制品业,纸制品/业,14,20,1615,353.619628483
奶厥,奶/厥,11,146,103,596.77889347
闷笠,闷/笠,14,35,945,345.333756614
登记备案,登记/备案,16,209,24,2602.39553429
砺郏,砺/郏,12,125,46,1702.64556522
己玫,己/玫,18,88,355,470.080601793
储运,储/运,11,30,190,1574.44929825
逾放,逾/放,10,34,516,465.031349749
问剑,问/剑,15,202,147,412.129218024
问健,问/健,11,202,140,317.339497878
∩希,∩/希,20,91,136,1318.44053006
珠三角,珠/三角,55,125,81,4431.78320988
扶贫攻坚,扶贫/攻坚,11,122,53,1387.93086916
回购,回/购,21,283,196,308.878470469
治理整顿,治理/整顿,54,660,186,358.878739003
奶跫,奶/跫,19,146,174,610.186151787
脑黾,脑/黾,10,207,112,351.902605245
砺匏,砺/匏,24,125,30,5221.4464
嗍视,嗍/视,10,52,224,700.421531593
矫嬉,矫/嬉,14,295,25,1548.73410169
优良品种,优良/品种,16,88,379,391.389301991
双赢,双/赢,21,233,71,1035.65683371
欧美,欧/美,223,466,1091,357.853316051
生命周期,生命/周期,87,182,1200,324.995590659
副局长,副/局长,10,324,22,1144.57210999
木赫,木/赫,34,356,226,344.771477578
畔⒒,畔/⒒,27,182,123,984.006834629
畔⒓,畔/⒓,13,182,96,607.031994048
畔⒌,畔/⒌,20,182,103,870.426757708
手工作坊,手工/作坊,11,77,19,6134.21804511
港珠,港/珠,24,494,125,317.09188664
江泽民同志,江泽民/同志,115,269,561,621.718154649
逃债,逃/债,13,103,264,390.043505443
桑园面积,桑园/面积,21,55,480,648.972386364
梯度推移,梯度/推移,14,64,62,2878.50655242
民乐镇,民乐/镇,10,13,184,3410.74832776
半殖民地半封建,半殖民地/半封建,28,57,47,8526.99813363
第25卷,第25/卷,18,37,1081,367.160487037
⑽幕,⑽/幕,14,56,293,696.118600683
索洛,索/洛,25,42,39,12451.9383394
试错,试/错,13,339,83,376.943632939
沉船考古,沉船/考古,10,66,99,1248.62411999
渲玫,渲/玫,13,98,355,304.8595286
新华文摘,新华/文摘,13,28,40,9469.69910714
繁体字＠,繁体字/＠,16,20,335,1948.30089552
截然相反,截然/相反,13,35,563,538.242222786
光明日报,光明/日报,28,61,166,2255.95773257
阂皇,阂/皇,14,33,214,1617.37666383
救贫,救/贫,13,46,464,496.910747751
福山,福/山,11,57,138,1140.90528858
张皮,张/皮,11,323,37,750.929712995
东南沿海,东南/沿海,63,116,731,606.144311052
张军,张/军,18,323,77,590.459490973
长江中下游,长江/中下游,12,272,24,1499.72610294
圈域,圈/域,109,245,154,2356.9509409
国土面积,国土/面积,20,104,480,326.86338141
电子联行,电子/联行,10,1721,11,430.960329618
赡苄,赡/苄,19,188,42,1963.1672999
赡苁,赡/苁,16,188,67,1036.33026358
堤寰,堤/寰,15,44,124,2242.99211877
互惠互利,互惠/互利,19,53,84,3481.84389039
秦东,秦/东,21,42,441,925.001133787
经济法立法权,经济法/立法权,70,341,139,1204.86866812
王洛林,王/洛林,15,194,16,3942.57893041
试吹,试/吹,24,339,154,375.060797609
开埠,开/埠,25,503,49,827.535805575
试础,试/础,10,339,64,376.037518437
幸恍,幸/恍,10,160,141,361.63608156
广播电视,广播/电视,13,58,104,1758.29956897
存续,存/续,10,292,46,607.39353782
淘汰出局,淘汰/出局,15,199,23,2673.75245794
挥惺,挥/惺,13,203,123,424.76923385
波浪式,波浪/式,14,16,985,724.740736041
试春,试/春,13,339,72,434.532243527
财会月刊,财会/月刊,12,53,48,3848.35377358
嵌瓤,嵌/瓤,10,132,26,2377.18822844
种植面积,种植/面积,28,96,480,495.742795139
器材制造业,器材/制造业,25,35,1266,460.308621079
棵诺,棵/诺,26,137,234,661.679643147
甲什,甲/什,10,100,175,466.200571429
副会长,副/会长,11,324,35,791.389858907
寻租,寻/租,170,182,350,2177.31036107
前景看好,前景/看好,12,526,62,300.202747455
不良债权,不良/债权,142,554,279,749.523452765
东扩,东/扩,29,441,105,510.953007235
锥蔚,锥/蔚,16,94,55,2524.87736944
苍白无力,苍白/无力,11,13,127,5435.71229558
飞机制造,飞机/制造,12,50,493,397.168843813
纬闪,纬/闪,15,115,68,1564.93158568
兆韩元,兆/韩元,15,46,35,7601.09627329
奠定坚实,奠定/坚实,13,277,121,316.438314885
连理工大,连理/工大,11,12,19,39361.2324561
轨道上来,轨道/上来,24,255,69,1112.8402387
泰益,泰/益,19,73,144,1474.61653349
邓小平文选,邓小平/文选,256,1111,351,535.586522755
放权让利,放权/让利,52,97,74,5910.31652271
异动,异/动,12,96,167,610.666916168
人均占有量,人均/占有量,40,1299,58,433.145390353
春秋战国,春秋/战国,11,25,32,11217.95125
纬傻,纬/傻,26,115,113,1632.32981916
成反比,成/反比,16,1351,18,536.788222716
唐肥,唐/肥,10,147,68,816.177470988
新华社记者,新华社/记者,13,145,228,320.812552934
委托代理,委托/代理,54,228,215,898.734271726
屠投,屠/投,14,44,415,625.515553122
消灭私有制,消灭/私有制,48,230,518,328.696055061
拟合,拟/合,30,135,228,795.176413255
句空话,句/空话,20,163,23,4352.36596426
从中受益,从中/受益,10,88,160,579.439630682
薄ⅰ,薄/ⅰ,15,153,62,1290.08697027
钱纳里,钱/纳里,14,657,14,1241.78234399
立信,立/信,10,160,128,398.364746094
综合商社,综合/商社,15,1400,23,380.054813665
社会科学季刊,社会科学/季刊,13,435,32,761.929813218
幅员辽阔,幅员/辽阔,13,29,47,7781.4108584
连年丰收,连年/丰收,13,78,54,2518.05864198
特许连锁,特许/连锁,15,74,192,861.329180743
博士研究生,博士/研究生,22,199,115,784.300720996
殉晌,殉/晌,14,22,137,3789.61977439
祖国大陆,祖国/大陆,137,276,567,714.231954349
薄赋,薄/赋,19,153,102,993.2826477
胁涣,胁/涣,10,85,67,1432.57418788
账款,账/款,10,56,118,1234.64134383
胁煌,胁/煌,10,85,140,685.58907563
盟枷,盟/枷,10,45,94,1928.72576832
注册会计师,注册/会计师,46,260,87,1659.11343943
1—9月,1—9/月,19,21,628,1175.39952988
攀疲,攀/疲,24,174,191,589.168441957
洪涝灾害,洪涝/灾害,19,21,41,18003.6806039
纬梢,纬/梢,11,115,242,322.470750988
基层党组织,基层/党组织,15,235,83,627.416816201
清理整顿,清理/整顿,25,116,186,945.322348906
赚汇,赚/汇,14,77,121,1225.92186326
缺失,缺/失,18,134,115,952.973264114
平均级数,平均/级数,16,2100,20,310.800380952
最高纪录,最高/纪录,13,571,42,442.250979902
瑞典学派,瑞典/学派,26,106,413,484.538489652
铰裕,铰/裕,14,78,164,892.895090682
户均净资产,户均/净资产,10,47,129,1345.62262906
确矫,确/矫,29,146,295,549.330833527
打击走私,打击/走私,15,202,78,776.705064737
斐闪,斐/闪,10,78,68,1538.1806184
硕士论文,硕士/论文,14,77,411,360.916168989
成熟债务国,成熟/债务国,55,633,69,1027.35547313
基因工程,基因/工程,17,35,744,532.621620584
双轨制,双轨/制,71,130,1241,359.049284076
刮夜,刮/夜,20,65,307,817.69080431
规章条例,规章/条例,14,87,180,729.368710089
斐傻,斐/傻,15,78,113,1388.44622192
萨伊,萨/伊,10,18,29,15629.3295019
糠帧,糠/帧,12,106,88,1049.55102916
联合声明,联合/声明,17,695,43,464.094595951
乾隆朝,乾隆/朝,10,30,113,2406.64011799
银企重组,银企/重组,18,61,799,301.30527914
东欧剧变,东欧/剧变,15,364,51,659.220265029
朱总理,朱/总理,10,84,122,796.107533177
电力蒸汽,电力/蒸汽,10,306,23,1159.20858198
翻一番,翻/一番,22,94,71,2689.35001498
芒德尔,芒/德尔,25,65,27,11621.8091168
恶性循环,恶性/循环,36,143,603,340.612044672
弥贫,弥/贫,43,141,464,536.219017486
苏东,苏/东,27,154,441,324.351046912
那疤,那/疤,11,671,35,382.131615925
华东师范大学,华东/师范大学,11,27,121,2746.97306397
农林牧渔业,农林牧/渔业,12,16,144,4249.22395833
有色金属冶炼,有色金属/冶炼,23,54,57,6096.35250162
黑箱,黑/箱,14,55,46,4514.59051383
蟛糠,蟛/糠,13,59,106,1695.88471378
流动性陷阱,流动性/陷阱,35,269,169,628.116077517
避税,避/税,11,27,851,390.580188885
朝鲜半岛,朝鲜/半岛,10,85,38,2525.85448916
迁海,迁/海,12,105,179,520.894493216
邮电通信业,邮电/通信业,11,89,16,6302.21980337
稳态,稳/态,14,142,85,946.306048053
股份有限公司,股份/有限公司,65,505,186,564.572713723
列宁选集,列宁/选集,29,311,178,427.394035189
交税金,交/税金,12,410,62,385.13815893
货仓,货/仓,11,238,39,966.856388709
博士生导师,博士生/导师,55,101,62,7165.73059725
离土,离/土,28,197,120,966.320981387
前沿阵地,前沿/阵地,14,109,41,2555.80980085
冷战结束,冷战/结束,50,130,399,786.438210912
最低运量,最低/运量,10,406,23,873.689226815
负担过重,负担/过重,14,713,39,410.756787859
郑氏政权,郑氏/政权,15,20,226,2707.47013274
突破性进展,突破性/进展,15,41,388,769.283693739
12月7日,12月/7日,16,309,39,1083.19774293
≈魈,≈/魈,10,45,107,1694.39460021
安第斯共同体,安第斯/共同体,14,14,167,4885.33532934
永续,永/续,12,57,46,3733.87185355
蚕种饲养量,蚕种/饲养量,12,50,14,13986.0171429
俏夜,俏/夜,18,65,307,735.921723879
严复文选,严复/文选,74,207,351,830.931279849
各级领导班子,各级/领导班子,11,390,55,418.385128205
酶母,酶/母,11,44,577,353.48830156
江泽民总书记,江泽民/总书记,45,269,68,2007.06839055
不可低估,不可/低估,33,690,99,394.130917874
桃狄,桃/狄,26,54,69,5693.00214707
显得尤为,显得/尤为,16,238,135,406.275007781
各族人民,各族/人民,26,28,2228,340.02510259
游戏规则,游戏/规则,85,125,1116,497.113512545
涣甲,涣/甲,10,67,100,1217.6880597
见端倪,见/端倪,15,993,40,308.100830816
仪器仪表,仪器/仪表,30,68,39,9229.08371041
跋斓,跋/斓,10,158,100,516.361392405
毛泽东选集,毛泽东/选集,36,274,178,602.202821291
具代表性,具/代表性,14,310,112,328.972177419
住房公积金,住房/公积金,10,600,15,906.501111111
活期存款,活期/存款,22,31,783,739.452148478
潭壬,潭/壬,25,103,36,5500.6135383
刘宪法,刘/宪法,12,128,221,346.09063914
贫困线以下,贫困线/以下,25,41,1452,342.610276826
噬鲜,噬/鲜,12,58,139,1214.36516993
绩差,绩/差,32,62,758,555.5202996
江南平原,江南/平原,10,204,49,816.177470988
绩优,绩/优,19,62,531,470.845301015
大干快,大干/快,10,10,1443,565.385308385
奢崇俭,奢/崇俭,14,43,16,16601.619186
檬盗,檬/盗,14,110,98,1059.54675325
核资,核/资,11,58,297,520.977650064
CGE模型,CGE/模型,11,18,1506,331.05950273
现实主义运动,现实主义/运动,18,43,686,497.841141772
薪酬,薪/酬,17,112,36,3439.84796627
檬贝,檬/贝,26,110,101,1909.28226823
至1891年,至/1891年,10,1812,12,375.207413539
抽样调查,抽样/调查,20,48,733,463.762505684
赛博,赛/博,10,29,330,852.508881923
耐用消费品,耐用/消费品,117,125,719,1062.08141307
消灭剥削,消灭/剥削,25,230,222,399.457011359
涉及面广,涉及面/广,10,21,250,1554.00190476
中共十四,中共/十四,16,144,117,774.787274454
牟涣,牟/涣,13,207,67,764.731631697
纺织成衣,纺织/成衣,13,240,38,1162.94550439
记录媒介,记录/媒介,11,168,91,587.019950288
军费开支,军费/开支,22,29,309,2002.98203326
夺取政权,夺取/政权,11,30,226,1323.6520649
养蚕,养/蚕,51,132,231,1364.56778827
潭鹊,潭/鹊,16,103,143,886.252698758
朝鲜战争,朝鲜/战争,10,85,271,354.178858259
差值率,差值/率,10,11,1587,467.348914476
企事业单位,企事业/单位,41,52,1860,345.842545492
省级农垦,省级/农垦,10,60,104,1307.45352564
琼斯指数,琼斯/指数,13,32,753,440.158657039
件好事,件/好事,15,296,36,1148.43890766
探析,探/析,26,47,95,4750.75610302
习惯性通道,习惯性/通道,10,13,359,1748.12727662
Ｔ谡,Ｔ/谡,30,198,114,1084.33147262
Ｔ诠,Ｔ/诠,14,198,172,335.386246183
日韩三国,日/韩三国,11,915,12,817.337067395
古典主义复兴,古典主义/复兴,19,75,96,2152.94013889
簿褪,簿/褪,13,70,190,797.448345865
锥危,锥/危,25,94,79,2746.60315109
规制,规/制,87,110,1241,519.954853124
副主任,副/主任,31,324,91,857.800196717
电话普及率,电话/普及率,11,189,47,1010.28492626
代表人物,代表/人物,54,1203,94,389.592985621
双紧,双/紧,15,233,144,364.740253934
公益事业,公益/事业,16,52,636,394.702951137
呕菡,呕/菡,20,61,24,11145.5054645
广东省委,广东/省委,17,458,69,438.879406367
紧紧围绕,紧紧/围绕,34,76,286,1276.17473316
摘要题,摘要/题,29,150,110,1433.91993939
绱耍,绱/耍,11,21,194,2202.8377516
全盘否定,全盘/否定,12,37,405,653.334134134
失业救济金,失业/救济金,12,1480,13,508.846777547
饭吃,饭/吃,14,54,265,798.177078966
刚刚起步,刚刚/起步,27,151,226,645.489568071
瓜菜,瓜/菜,13,43,42,5872.68161683
还本付息,还本/付息,45,51,56,12854.7951681
皇窃,皇/窃,11,214,113,371.117401373
苏维埃政权,苏维埃/政权,13,42,226,1117.36862621
解散托拉斯,解散/托拉斯,10,32,25,10198.1375
江东犁,江东/犁,12,14,41,17056.1184669
知名品牌,知名/品牌,19,60,190,1359.75166667
解脱出来,解脱/出来,21,27,889,713.78040245
江小涓,江小/涓,22,22,46,17735.8913043
1月2日,1月/2日,10,275,29,1023.01065831
党政社团,党政/社团,25,97,200,1051.35438144
庇古,庇/古,10,47,94,1846.65233137
检验真理,检验/真理,12,266,86,427.968700822
增发1000亿,增发/1000亿,18,117,118,1063.69100391
暂行条例,暂行/条例,19,72,180,1196.07785494
放开搞活,放开/搞活,33,342,162,485.941141434
买不到,买/不到,10,339,69,348.788422898
拐铰,拐/铰,24,55,78,4564.2013986
基金管理人,基金/管理人,54,1206,55,664.19348711
煊颍,煊/颍,17,73,114,1666.60261956
教研部,教研/部,10,12,563,1207.59473061
反倾销,反/倾销,69,585,91,1057.45691744
摊销,摊/销,21,42,192,2124.61197917
中外合资,中外/合资,15,125,214,457.486542056
商馆,商/馆,12,625,38,412.219452632
淡水养殖业,淡水/养殖业,12,79,37,3349.37119398
兄朴,兄/朴,14,279,44,930.426360378
焙汀,焙/汀,11,39,51,4511.99648064
海洋考古,海洋/考古,32,269,99,980.332394578
首席执行官,首席/执行官,12,32,12,25495.34375
卫生保健,卫生/保健,13,145,88,831.196159875
从业人员,从业/人员,205,267,1956,320.246652957
粤海关,粤/海关,15,145,188,448.927549523
财贸学院,财贸/学院,17,77,497,362.420418616
联合国开发计划署,联合国/开发计划署,15,247,15,3303.04048583
蒲谢,蒲/谢,13,104,108,944.271990741
恩格尔系数,恩格尔/系数,39,41,550,1411.00616408
调适,调/适,17,215,103,626.302415895
不满情绪,不满/情绪,15,64,104,1838.60652043
12月31日,12月/31日,12,309,35,905.243828017
实务,实/务,66,326,122,1353.87121593
奈⒐,奈/⒐,12,167,161,364.124372373
颐怯,颐/怯,11,176,102,499.90870098
第23卷,第23/卷,31,48,1081,487.422544712
自我防御,自我/防御,16,546,44,543.357309357
部长级会议,部长级/会议,13,17,670,931.173222125
许涤,许/涤,16,70,117,1593.84810745
系讲师,系/讲师,13,560,60,315.656636905
师范学院学报,师范学院/学报,16,28,338,1379.29163145
工业品出厂,工业品/出厂,12,218,32,1403.41341743
兴贸,兴/贸,24,176,160,695.327556818
通商口岸,通商/口岸,22,63,180,1582.77971781
保值增值,保值/增值,75,169,377,960.382104123
组群,组/群,31,313,229,352.852114346
晕侍,晕/侍,12,77,282,450.870958828
骄赫,骄/赫,12,56,226,773.56289507
转引自,转引/自,77,81,1504,515.666264447
加入世贸组织,加入/世贸组织,68,860,165,390.964538407
讨校,讨/校,33,76,205,1728.05410783
半叶,半/叶,45,520,91,775.851542688
留存收益,留存/收益,15,20,1700,359.934264706
普惠制,普惠/制,38,38,1241,657.414182111
坚决制止,坚决/制止,10,154,81,654.041205708
地域狭小,地域/狭小,10,307,86,309.011059768
柯布,柯/布,13,17,81,7702.29702251
研讨会论文集,研讨会/论文集,10,142,60,957.571596244
校对者,校对/者,56,57,2314,346.386268177
移动电话,移动/电话,23,198,189,501.431591043
环形曲线,环形/曲线,13,13,693,1177.27417027
地域辽阔,地域/辽阔,15,307,47,848.136738513
恋兀,恋/兀,11,93,116,831.883667037
颐遣,颐/遣,12,176,91,611.276973027
休克疗法,休克/疗法,131,152,134,5247.27420463
江泽民主席,江泽民/主席,17,269,111,464.498710607
牛耳,牛/耳,11,171,22,2385.52923977
挡棵,挡/棵,20,110,137,1082.74850697
乐观情绪,乐观/情绪,12,169,104,557.021620391
回旋余地,回旋/余地,23,32,168,3490.43396577
勘辍,勘/辍,17,111,23,5432.61535448
件大事,件/大事,17,296,54,867.709396897
飨缘,飨/缘,12,83,202,583.932482405
烧造,烧/造,13,55,87,2216.523093
通缩,通/缩,25,173,48,2456.19881985
岛透,岛/透,12,156,85,738.326696833
有所为有所不为,有所为/有所不为,11,50,47,3818.87702128
长江流域,长江/流域,95,272,173,1647.09803213
单独关税区,单独/关税区,10,109,16,4678.04472477
存贷款利率,存贷款/利率,27,41,1639,327.802154794
泡沫破灭,泡沫/破灭,17,451,74,415.577006053
学术刊物,学术/刊物,10,439,35,530.980149691
芯俊,芯/俊,12,235,60,694.341276596
节节,节/节,19,170,170,536.372629758
诵∑,诵/∑,20,127,71,1809.58411889
来临之际,来临/之际,11,130,83,831.729471733
即将来临,即将/来临,29,200,130,909.987653846
贯彻落实,贯彻/落实,40,324,334,301.563909219
芯恐,芯/恐,10,235,55,631.21934236
勘甑,勘/甑,12,111,23,3834.78730905
湖南师范大学,湖南/师范大学,11,95,121,780.718660287
50周年,50/周年,10,447,50,365.034004474
桌砉,桌/砉,10,16,29,17582.9956897
豫西南区,豫西/南区,10,22,18,20602.2979798
日元升值,日元/升值,20,371,122,360.501524458
涣颊,涣/颊,17,67,24,8625.29042289
白领工人,白领/工人,12,23,811,524.859915295
长江经济带,长江/经济带,16,272,67,716.287093942
黑色金属冶炼,黑色金属/冶炼,14,20,57,10019.222807
凯恩斯主义,凯恩斯/主义,202,623,790,334.847516102
十三大报告,十三大/报告,11,11,1333,612.041260315
家具制造业,家具/制造业,20,36,1266,358.017816395
动全身,动/全身,10,167,10,4885.33532934
官窑,官/窑,29,232,94,1084.90824468
研究院课题组,研究院/课题组,13,148,150,477.750585586
专利申请,专利/申请,13,168,164,384.947118177
沿边,沿/边,48,153,138,1854.73373117
师范大学学报,师范大学/学报,27,121,338,538.607682527
研究所所长,研究所/所长,33,502,55,975.120717131
咛宓,咛/宓,21,66,154,1685.64256198
播种面积,播种/面积,11,16,480,1168.53658854
饥渴症,饥渴/症,20,34,54,8887.26579521
昂立,昂/立,16,41,160,1989.8804878
皮革制品,皮革/制品,10,56,286,509.397477522
目右,目/右,13,156,223,304.877055306
耕地面积,耕地/面积,46,211,480,370.548439968
权益保护法,权益/保护法,10,366,21,1061.4767109
主攻方向,主攻/方向,11,15,1270,471.095065617
结汇,结/汇,18,62,121,1957.52039456
外出打工,外出/打工,13,34,18,17330.1683007
警限,警/限,17,71,127,1538.14650105
沿江,沿/江,47,153,184,1362.07008383
对冲基金,对冲/基金,46,66,1206,471.495376652
学院副教授,学院/副教授,20,497,107,306.832020158
通用电气,通用/电气,18,161,82,1112.35555219
复旦大学,复旦/大学,39,41,1403,553.138553274
湖北武汉,湖北/武汉,15,109,228,492.425760502
刑跫,刑/跫,10,65,174,721.353669319
牛羊,牛/羊,12,171,45,1272.28226121
大城市经济带,大城市/经济带,13,20,67,7914.97238806
共荣,共/荣,13,449,49,482.07186037
合法权益,合法/权益,70,273,366,571.564382794
转轨变型,转轨/变型,25,1076,35,541.589883165
彩色电视机,彩色/电视机,16,25,61,8559.74819672
